id,Reservoir_derived_14C_age,Reservoir_derived_14C_error,Calendar_age,Calendar_age_error
AA-25401,13492,84,14003,48
AA-34109,13787,105,13911,47
AA-20588,13325,106,13824,47
AA-25306,13417,104,13767,46
AA-25182,13459,122,13711,46
AA-25183,12964,105,13684,45
AA-25184,13066,121,13628,45
AA-25307,13042,99,13586,44
AA-25308,13122,100,13543,44
AA-25185,13143,97,13500,43
AA-25309,12969,92,13455,43
AA-25310,12978,99,13424,43
AA-24781,12863,118,13329,42
AA-25186,12784,103,13280,41
AA-25187,12872,101,13247,41
AA-25188,13030,125,13196,40
AA-25189,12798,113,13161,40
AA-25190,12803,125,13126,39
AA-25191,12645,126,13073,38
AA-25192,12392,95,13018,38
AA-25193,12395,119,12963,37
AA-34110,12550,91,12888,35
AA-34111,12260,94,12831,34
AA-25194,12541,107,12695,32
AA-25195,12158,74,12656,31
AA-25196,12356,73,12597,30
AA-25197,11541,72,12558,29
AA-25198,11998,79,12479,28
AA-20590,11746,97,12317,25
AA-25311,11648,93,12275,25
AA-25312,11581,78,12234,24
AA-25313,11443,82,12023,24
AA-25314,11567,101,11919,24
AA-34112,11413,120,11820,25
AA-24820,11302,104,11743,26
AA-34113,11251,97,11668,27
AA-24827,11350,90,11631,28
AA-25315,11550,86,11613,28
AA-34115,11425,115,11524,30
AA-42945,11338,84,11512,30
AA-20591,11357,96,11489,31
AA-34116,11647,78,11454,32
AA-42944,11519,95,11456,32
AA-33084,11488,100,11420,33
AA-42943,11688,82,11397,34
AA-33085,11521,89,11352,35
AA-42942,11617,81,11351,35
AA-34117,11354,84,11318,35
AA-42941,11793,77,11306,36
AA-33086,11821,107,11301,37
AA-24828,11387,102,11292,38
AA-25199,11867,72,11267,38
AA-42940,11749,94,11254,38
AA-33467,11798,129,11250,40
AA-42939,11705,76,11208,42
AA-33087,11849,98,11183,44
AA-42938,11591,75,11163,45
AA-24829,11186,88,11150,46
AA-33088,11658,87,11116,48
AA-42937,11597,78,11110,49
AA-42936,11374,76,11079,50
AA-42935,11623,93,11048,50
