id,cal_age,cal_sigma,rad_res,rad_res_sd,mid1,mid2,wmn,med,mode,mid1_resage,mid2_resage,wmn_resage,med_resage,mode_resage,Latitude,Longitude,group
DrakePCoral,66,11,870,70,114,134,134,115,120,754,756,763,754,755,-57.75,-64,Southern Ocean
DrakePCoral,468,21,1380,60,388,476,548,372,368,1002,948,874,1003,1006,-57.75,-64,Southern Ocean
MD07-3076,1042,46,1985,30,1154,1162,1173,1132,1118,838,840,739,845,859,-44.1,-14.2,Southern Ocean
MD07-3076,1042,46,2475,30,1154,1162,1173,1132,1118,1328,1330,1229,1335,1349,-44.1,-14.2,Southern Ocean
MD07-3076,1458,93,2362,35,1282,1528,1562,1586,1591,776,836,862,776,775,-44.1,-14.2,Southern Ocean
MD97-2121,1718,10,2331,40,1817,1804,1832,1823,1832,510,528,535,508,508,-40.4,-178,Southern Ocean
MD07-3088,1759,171,2510,30,1595,1792,2087,1870,1878,666,726,622,644,625,-46,-75,Southern Ocean
MD07-3076,1991,116,2945,37,2021,1957,1697,2047,2104,894,964,1119,896,855,-44.1,-14.2,Southern Ocean
MD07-3076,2986,162,3725,37,2486,2869,2924,2876,2899,848,862,806,853,823,-44.1,-14.2,Southern Ocean
MD07-3088,4098,182,4475,30,3692,3707,3615,3740,3697,470,762,817,731,767,-46,-75,Southern Ocean
MD07-3076,4329,162,4905,35,3806,3830,3699,3886,3887,990,1054,1242,1016,1028,-44.1,-14.2,Southern Ocean
DrakePCoral,4643,169,4850,75,3891,4166,4103,4128,4133,710,685,603,726,724,-57.75,-64,Southern Ocean
MD07-3076,5370,139,5687,37,4631,4732,4770,4668,4690,744,966,886,1024,1001,-44.1,-14.2,Southern Ocean
DrakePCoral,5883,53,5990,90,5131,5086,5056,5078,5055,876,834,807,887,903,-57.75,-64,Southern Ocean
MD07-3076,6319,93,6506,37,5501,5525,5538,5557,5582,990,987,939,960,923,-44.1,-14.2,Southern Ocean
DrakePCoral,6470,48,6430,95,5588,5652,5678,5691,5681,738,780,866,736,735,-57.75,-64,Southern Ocean
MD07-3076,6806,185,6732,36,5940,6041,6289,5985,6008,770,698,654,749,724,-44.1,-14.2,Southern Ocean
MD97-2121,7027,170,6884,30,6144,6290,6500,6154,6180,717,605,399,733,713,-40.4,-178,Southern Ocean
RR0503-83GC,8009,69,7540,25,7183,7204,7227,7205,7302,352,340,300,328,239,-36.74,-176.64,Southern Ocean
RR0503-83GC,8009,69,7750,30,7183,7204,7227,7205,7302,560,552,496,536,450,-36.74,-176.64,Southern Ocean
RR0503-83GC,8009,69,8200,30,7183,7204,7227,7205,7302,1010,1002,946,986,900,-36.74,-176.64,Southern Ocean
RR0503-83GC,8009,69,8350,25,7183,7204,7227,7205,7302,1162,1150,1110,1138,1049,-36.74,-176.64,Southern Ocean
MD07-3076,8079,162,8390,40,7222,7164,7304,7293,7301,1157,1231,1163,1100,1088,-44.1,-14.2,Southern Ocean
MD07-3076,9074,116,9520,40,7982,8182,8139,8167,8175,1405,1327,1452,1357,1330,-44.1,-14.2,Southern Ocean
MD07-3076,9074,116,9510,50,7982,8182,8139,8167,8175,1393,1312,1442,1349,1319,-44.1,-14.2,Southern Ocean
MD07-3076,9074,116,9070,50,7982,8182,8139,8167,8175,953,872,1002,909,879,-44.1,-14.2,Southern Ocean
MD07-3076,9769,116,9560,40,8788,8714,8738,8780,8788,777,851,816,781,776,-44.1,-14.2,Southern Ocean
MD97-2121,9906,246,8812,36,8334,8850,9043,8841,8887,-136,-30,-106,-29,-60,-40.4,-178,Southern Ocean
MD07-3076,10347,69,9790,50,9036,9182,9356,9206,9207,592,646,572,583,581,-44.1,-14.2,Southern Ocean
