,Event,Site,Latitude,Latitude_2,Longitude,Longitude_2,Cal age,Cal age std e,Age dated,Age std e,Res age,Res age e,Reference,Elevation,Date/Time,group
0,DrakePCoral,Drake P Coral,-57.75,-57.75,-64,-64,0.009,0.078,0.805,0.065,0.682,0.072,"Burke & Robinson, 2012",,,Southern Ocean
1,DrakePCoral,Drake P Coral,-57.75,-57.75,-64,-64,0.066,0.011,0.87,0.07,0.769,0.07,"Burke & Robinson, 2012",,,Southern Ocean
2,DrakePCoral,Drake P Coral,-57.75,-57.75,-64,-64,0.468,0.021,1.38,0.06,1.01,0.066,"Burke & Robinson, 2012",,,Southern Ocean
3,MD07-3076,MD7-3076,-44.1,-44.1533,-14.2,-14.2282,1.042,0.046,1.985,0.03,0.86,0.051,"Skinner et al., 2010",-3770,,Southern Ocean
4,MD07-3076,MD7-3076,-44.1,-44.1533,-14.2,-14.2282,1.042,0.046,2.475,0.03,1.35,0.051,"Skinner et al., 2010",-3770,,Southern Ocean
5,MD07-3076,MD7-3076,-44.1,-44.1533,-14.2,-14.2282,1.458,0.093,2.362,0.035,0.792,0.103,"Skinner et al., 2010",-3770,,Southern Ocean
6,MD97-2121,MD97-2121,-40.4,-40.38,-178,177.99,1.718,0.01,2.331,0.04,0.379,0.049,Skinner et al. 2015,-3014,,Southern Ocean
7,MD07-3088,MD07-3088,-46,-46.0717,-75,-75.6872,1.759,0.171,2.51,0.03,0.677,0.148,Siani et al. 2013,-1536,2007/1/1,Southern Ocean
8,MD07-3076,MD7-3076,-44.1,-44.1533,-14.2,-14.2282,1.991,0.116,2.945,0.037,0.869,0.107,"Skinner et al., 2010",-3770,,Southern Ocean
9,MD07-3076,MD7-3076,-44.1,-44.1533,-14.2,-14.2282,2.986,0.162,3.725,0.037,0.823,0.121,"Skinner et al., 2010",-3770,,Southern Ocean
10,MD07-3088,MD07-3088,-46,-46.0717,-75,-75.6872,4.098,0.182,4.475,0.03,0.767,0.13,Siani et al. 2013,-1536,2007/1/1,Southern Ocean
11,MD07-3076,MD7-3076,-44.1,-44.1533,-14.2,-14.2282,4.329,0.162,4.905,0.035,1.028,0.12,"Skinner et al., 2010",-3770,,Southern Ocean
12,DrakePCoral,Drake P Coral,-57.75,-57.75,-64,-64,4.643,0.169,4.85,0.075,0.725,0.154,"Burke & Robinson, 2012",,,Southern Ocean
13,MD07-3076,MD7-3076,-44.1,-44.1533,-14.2,-14.2282,5.37,0.139,5.687,0.037,0.999,0.115,"Skinner et al., 2010",-3770,,Southern Ocean
14,DrakePCoral,Drake P Coral,-57.75,-57.75,-64,-64,5.883,0.053,5.99,0.09,0.901,0.112,"Burke & Robinson, 2012",,,Southern Ocean
15,MD07-3076,MD7-3076,-44.1,-44.1533,-14.2,-14.2282,6.319,0.093,6.506,0.037,0.929,0.111,"Skinner et al., 2010",-3770,,Southern Ocean
16,DrakePCoral,Drake P Coral,-57.75,-57.75,-64,-64,6.47,0.048,6.43,0.095,0.736,0.106,"Burke & Robinson, 2012",,,Southern Ocean
17,MD07-3076,MD7-3076,-44.1,-44.1533,-14.2,-14.2282,6.806,0.185,6.732,0.036,0.73,0.146,"Skinner et al., 2010",-3770,,Southern Ocean
18,MD97-2121,MD97-2121,-40.4,-40.38,-178,177.99,7.027,0.17,6.884,0.03,0.735,0.189,Skinner et al. 2015,-3014,,Southern Ocean
19,RR0503-83GC,RR0503 TC 83,-36.74,-37.74,-176.64,176.64,8.009,0.069,7.54,0.025,0.261,0.085,"Sikes et al., 2016",-1627,,Southern Ocean
20,RR0503-83GC,RR0503 TC 83,-36.74,-37.74,-176.64,176.64,8.009,0.069,7.75,0.03,0.474,0.087,"Sikes et al., 2016",-1627,,Southern Ocean
21,RR0503-83GC,RR0503 TC 83,-36.74,-37.74,-176.64,176.64,8.009,0.069,8.2,0.03,0.924,0.087,"Sikes et al., 2016",-1627,,Southern Ocean
22,RR0503-83GC,RR0503 TC 83,-36.74,-37.74,-176.64,176.64,8.009,0.069,8.35,0.025,1.071,0.085,"Sikes et al., 2016",-1627,,Southern Ocean
23,MD07-3076,MD7-3076,-44.1,-44.1533,-14.2,-14.2282,8.079,0.162,8.39,0.04,1.105,0.165,"Skinner et al., 2010",-3770,,Southern Ocean
24,MD07-3076,MD7-3076,-44.1,-44.1533,-14.2,-14.2282,9.074,0.116,9.52,0.04,1.336,0.099,"Skinner et al., 2010",-3770,,Southern Ocean
25,MD07-3076,MD7-3076,-44.1,-44.1533,-14.2,-14.2282,9.074,0.116,9.51,0.05,1.324,0.105,"Skinner et al., 2010",-3770,,Southern Ocean
26,MD07-3076,MD7-3076,-44.1,-44.1533,-14.2,-14.2282,9.074,0.116,9.07,0.05,0.884,0.105,"Skinner et al., 2010",-3770,,Southern Ocean
27,MD07-3076,MD7-3076,-44.1,-44.1533,-14.2,-14.2282,9.769,0.116,9.56,0.04,0.775,0.08,"Skinner et al., 2010",-3770,,Southern Ocean
28,MD97-2121,MD97-2121,-40.4,-40.38,-178,177.99,9.906,0.246,8.812,0.036,0.282,0.019,Skinner et al. 2015,-3014,,Southern Ocean
29,MD07-3076,MD7-3076,-44.1,-44.1533,-14.2,-14.2282,10.347,0.069,9.79,0.05,0.582,0.076,"Skinner et al., 2010",-3770,,Southern Ocean
30,MD07-3076,MD7-3076,-44.1,-44.1533,-14.2,-14.2282,10.347,0.069,10.06,0.05,0.852,0.076,"Skinner et al., 2010",-3770,,Southern Ocean
31,MD07-3076,MD7-3076,-44.1,-44.1533,-14.2,-14.2282,10.694,0.069,10.3,0.045,0.864,0.078,"Skinner et al., 2010",-3770,,Southern Ocean
32,MD07-3076,MD7-3076,-44.1,-44.1533,-14.2,-14.2282,11.134,0.069,10.47,0.05,0.815,0.105,"Skinner et al., 2010",-3770,,Southern Ocean
33,MD07-3076,MD7-3076,-44.1,-44.1533,-14.2,-14.2282,11.134,0.069,10.57,0.06,0.916,0.11,"Skinner et al., 2010",-3770,,Southern Ocean
34,MD07-3076,MD7-3076,-44.1,-44.1533,-14.2,-14.2282,11.134,0.069,10.67,0.05,1.015,0.105,"Skinner et al., 2010",-3770,,Southern Ocean
35,MD97-2121,MD97-2121,-40.4,-40.38,-178,177.99,11.195,0.051,10.552,0.038,0.712,0.036,Skinner et al. 2015,-3014,,Southern Ocean
36,MD07-3088,MD07-3088,-46,-46.0717,-75,-75.6872,11.252,0.347,10.88,0.035,0.859,0.214,Siani et al. 2013,-1536,2007/1/1,Southern Ocean
37,MD07-3076,MD7-3076,-44.1,-44.1533,-14.2,-14.2282,11.389,0.093,10.6,0.05,0.604,0.083,"Skinner et al., 2010",-3770,,Southern Ocean
38,MD07-3076,MD7-3076,-44.1,-44.1533,-14.2,-14.2282,11.389,0.093,10.73,0.05,0.734,0.083,"Skinner et al., 2010",-3770,,Southern Ocean
39,MD07-3076,MD7-3076,-44.1,-44.1533,-14.2,-14.2282,11.644,0.116,10.79,0.05,0.728,0.072,"Skinner et al., 2010",-3770,,Southern Ocean
40,MD07-3076,MD7-3076,-44.1,-44.1533,-14.2,-14.2282,11.644,0.116,10.82,0.05,0.758,0.072,"Skinner et al., 2010",-3770,,Southern Ocean
41,DrakePCoral,Drake P Coral,-57.75,-57.75,-64,-64,11.777,0.135,10.7,0.14,0.569,0.154,"Burke & Robinson, 2012",,,Southern Ocean
42,TNO57-21,TNO57-21,-41.1,-41.1,7.8,7.8,12.201,0.2,10.9,0.045,0.515,0.207,"Barker et al., 2014",-4981,,Southern Ocean
43,MD07-3076,MD7-3076,-44.1,-44.1533,-14.2,-14.2282,12.222,0.139,11.4,0.05,1.017,0.094,"Skinner et al., 2010",-3770,,Southern Ocean
44,MD07-3076,MD7-3076,-44.1,-44.1533,-14.2,-14.2282,12.894,0.069,11.835,0.05,0.795,0.071,"Skinner et al., 2010",-3770,,Southern Ocean
45,TNO57-21,TNO57-21,-41.1,-41.1,7.8,7.8,12.98,0.2,12.2,0.075,1.152,0.407,"Barker et al., 2014",-4981,,Southern Ocean
46,MD07-3076,MD7-3076,-44.1,-44.1533,-14.2,-14.2282,13.241,0.093,12.76,0.06,1.382,0.117,"Skinner et al., 2010",-3770,,Southern Ocean
47,DrakePCoral,Drake P Coral,-57.75,-57.75,-64,-64,13.397,0.076,12.75,0.18,1.193,0.198,"Burke & Robinson, 2012",,,Southern Ocean
48,TNO57-21,TNO57-21,-41.1,-41.1,7.8,7.8,13.58,0.2,12.7,0.055,0.875,0.311,"Barker et al., 2014",-4981,,Southern Ocean
49,DrakePCoral,Drake P Coral,-57.75,-57.75,-64,-64,13.707,0.068,13.15,0.18,1.278,0.193,"Burke & Robinson, 2012",,,Southern Ocean
50,MD07-3088,MD07-3088,-46,-46.0717,-75,-75.6872,13.812,0.233,12.885,0.04,0.838,0.2,Siani et al. 2013,-1536,2007/1/1,Southern Ocean
51,RR0503-64JPC,RR0503 JPC 64,-37.42,-37.422,-177,177.002,13.998,0.11,12.72,0.045,0.643,0.105,"Sikes et al., 2016",-651,,Southern Ocean
52,RR0503-79JPC,RR0503 JPC 79,-36.96,-36.9587,-176.59,176.5928,13.998,0.11,12.81,0.035,0.741,0.1,"Sikes et al., 2016",-1165,,Southern Ocean
53,MD07-3076,MD7-3076,-44.1,-44.1533,-14.2,-14.2282,14.097,0.093,13.36,0.06,1.161,0.11,"Skinner et al., 2010",-3770,,Southern Ocean
54,TNO57-21,TNO57-21,-41.1,-41.1,7.8,7.8,14.18,0.2,12.95,0.055,0.547,0.256,"Barker et al., 2014",-4981,,Southern Ocean
55,MD97-2121,MD97-2121,-40.4,-40.38,-178,177.99,14.324,0.254,12.839,0.045,0.641,0.385,Skinner et al. 2015,-3014,,Southern Ocean
56,MD07-3076,MD7-3076,-44.1,-44.1533,-14.2,-14.2282,14.491,0.069,13.3,0.06,0.88,0.071,"Skinner et al., 2010",-3770,,Southern Ocean
57,MD07-3088,MD07-3088,-46,-46.0717,-75,-75.6872,14.491,0.464,13.755,0.035,1.329,0.258,Siani et al. 2013,-1536,2007/1/1,Southern Ocean
58,MD07-3076,MD7-3076,-44.1,-44.1533,-14.2,-14.2282,14.653,0.069,13.43,0.06,0.977,0.074,"Skinner et al., 2010",-3770,,Southern Ocean
59,TNO57-21,TNO57-21,-41.1,-41.1,7.8,7.8,14.77,0.2,13.15,0.07,0.68,0.233,"Barker et al., 2014",-4981,,Southern Ocean
60,MD07-3076,MD7-3076,-44.1,-44.1533,-14.2,-14.2282,14.792,0.069,13.52,0.11,1.007,0.119,"Skinner et al., 2010",-3770,,Southern Ocean
61,MD07-3076,MD7-3076,-44.1,-44.1533,-14.2,-14.2282,15.139,0.162,13.44,0.06,0.793,0.138,"Skinner et al., 2010",-3770,,Southern Ocean
62,MD07-3076,MD7-3076,-44.1,-44.1533,-14.2,-14.2282,15.139,0.162,13.38,0.06,0.733,0.138,"Skinner et al., 2010",-3770,,Southern Ocean
63,MD07-3076,MD7-3076,-44.1,-44.1533,-14.2,-14.2282,15.139,0.162,13.38,0.07,0.72,0.143,"Skinner et al., 2010",-3770,,Southern Ocean
64,MD07-3076,MD7-3076,-44.1,-44.1533,-14.2,-14.2282,15.139,0.162,13.45,0.06,0.803,0.138,"Skinner et al., 2010",-3770,,Southern Ocean
65,MD07-3076,MD7-3076,-44.1,-44.1533,-14.2,-14.2282,15.139,0.162,13.26,0.06,0.613,0.138,"Skinner et al., 2010",-3770,,Southern Ocean
66,TNO57-21,TNO57-21,-41.1,-41.1,7.8,7.8,15.892,0.2,14.75,0.065,1.521,0.289,"Barker et al., 2014",-4981,,Southern Ocean
67,DrakePCoral,Drake P Coral,-57.75,-57.75,-64,-64,16.402,0.31,14.2,0.18,0.561,0.282,"Burke & Robinson, 2012",,,Southern Ocean
68,TNO57-21,TNO57-21,-41.1,-41.1,7.8,7.8,16.453,0.2,14.85,0.06,1.154,0.286,"Barker et al., 2014",-4981,,Southern Ocean
69,MD07-3076,MD7-3076,-44.1,-44.1533,-14.2,-14.2282,16.574,0.324,15.36,0.07,1.597,0.237,"Skinner et al., 2010",-3770,,Southern Ocean
70,MD07-3076,MD7-3076,-44.1,-44.1533,-14.2,-14.2282,16.574,0.324,15.36,0.06,1.592,0.235,"Skinner et al., 2010",-3770,,Southern Ocean
71,MD07-3076,MD7-3076,-44.1,-44.1533,-14.2,-14.2282,16.574,0.324,15.56,0.08,1.801,0.24,"Skinner et al., 2010",-3770,,Southern Ocean
72,TNO57-21,TNO57-21,-41.1,-41.1,7.8,7.8,17.014,0.2,15.65,0.08,1.689,0.295,"Barker et al., 2014",-4981,,Southern Ocean
73,MD07-3076,MD7-3076,-44.1,-44.1533,-14.2,-14.2282,17.106,0.324,15.65,0.18,1.581,0.291,"Skinner et al., 2010",-3770,,Southern Ocean
74,MD07-3076,MD7-3076,-44.1,-44.1533,-14.2,-14.2282,17.569,0.347,16.51,0.21,2.104,0.35,"Skinner et al., 2010",-3770,,Southern Ocean
75,TNO57-21,TNO57-21,-41.1,-41.1,7.8,7.8,17.575,0.2,16.05,0.065,1.535,0.323,"Barker et al., 2014",-4981,,Southern Ocean
76,MD07-3076,MD7-3076,-44.1,-44.1533,-14.2,-14.2282,17.801,0.347,16.698,0.05,2.141,0.291,"Skinner et al., 2010",-3770,,Southern Ocean
77,MD97-2121,MD97-2121,-40.4,-40.38,-178,177.99,17.845,0.38,15.986,0.056,1.286,0.194,Skinner et al. 2015,-3014,,Southern Ocean
78,RR0503-83GC,RR0503 TC 83,-36.74,-37.74,-176.64,176.64,17.906,0.147,15.835,0.04,1.212,0.147,"Sikes et al., 2016",-1627,,Southern Ocean
79,RR0503-83GC,RR0503 TC 83,-36.74,-37.74,-176.64,176.64,17.906,0.147,15.965,0.04,1.342,0.147,"Sikes et al., 2016",-1627,,Southern Ocean
