id,Calendar_age,Calendar_age_error,Reservoir_derived_14C_age,Reservoir_derived_14C_error
MR01-K03,2766,98,3290,80
MR01-K03,3983,251,4270,200
MR01-K03,5456,252,5450,220
MR01-K03,7634.5,209,7500,220
MR01-K03,11463,85,10600,50
MR01-K03,11934,86,10900,55
MR01-K03,12631,51,11420,60
MR01-K03,13392,50,12230,50
MR01-K03,15151,107,13450,85
MR01-K03,16073,69,14150,55
MR01-K03,18793,107,16450,110
MR01-K03,20853,73,18200,65
MR01-K03,24644,254,21500,220
MR01-K03,26787,216,23560,220
MR01-K03,28899,331,25700,300
MR01-K03,33631,383,30130,360
V35-6,4689,111,4860,90
V35-6,7971,114,7890,110
V35-6,9023,163,8780,120
V35-6,9977,161,9550,120
V35-6,10783,171,10130,120
V35-6,12738,130,11590,140
V35-6,13708,195,12540,160
V35-5,1293,479,2055,100
V35-5,5793,428,5830,110
V35-5,7626.5,288,7500,150
V35-5,8210,267,8190,140
V35-5,9331.5,217,9050,160
V35-5,9995.5,372,9520,150
V35-5,12627,426,11580,200
V35-5,15477,341,13740,190
V35-5,16986,450,14990,420
V35-5,18419,373,16170,290
V35-5,19669.5,339,17540,260
V35-5,20268,435,17020,390
MD95-2007,11775.5,68.165,10664,65
MD95-2007,12429.5,105.82625,11353,62
MD95-2007,12482.25,103.763125,11299,66
MD95-2007,12551.5,103.7625,11500,90
MD95-2007,12596,98.099375,11296,77
MD95-2007,12973.25,71.085625,11471,62
MD95-2007,13535.875,139.985,12353,74
MD95-2007,13740,137.5875,12630,100
MD95-2007,14125.5,121.496875,12790,120
TNO57-21,12201,200,10900,45
TNO57-21,12980,200,12200,75
TNO57-21,13580,200,12700,55
TNO57-21,14180,200,12950,55
TNO57-21,14770,200,13150,70
TNO57-21,15892,200,14750,65
TNO57-21,16453,200,14850,60
TNO57-21,17014,200,15650,80
TNO57-21,17575,200,16050,65
TNO57-21,18697,200,16900,80
TNO57-21,19259,200,17400,70
TNO57-21,19820,200,18000,85
TNO57-21,22064,200,19300,90
SS152,2103,322,2523,108
SS152,2860,336,3164,45
SS152,5761,275,5547,35
SS152,6468,170,6190,75
SS152,7523,250,7158,42
SS152,8813,213,8405,45
SS152,9278,323,8715,47
SS152,11897,326,10708,87
SS152,12462,112,11081,34
SS152,12697,194,11176,94
SS152,14026,345,12551,60
SS152,14917,228,13119,49
SS152,15758,191,13678,37
SS152,16610,209,14369,76
SS152,17165,209,14812,42
SS152,18000,297,15495,38
SS152,18928,385,16453,199
SS172,6091,372,5823,40
SS172,7633,382,7317,59
SS172,9347,369,8797,33
SS172,11474,269,10438,52
SS172,12094,167,10789,46
SS172,12667,200,11296,74
SS172,13643,177,12271,61
SS172,14174,127,12804,65
SS172,14370,139,12672,48
SS172,14986,252,13110,51
SS172,15946,437,14283,57
SS172,16680,548,13628,59
SS172,17724,542,15469,66
SS172,18290,541,15093,57
SS172,19139,497,17263,75
SS172,19658,401,16890,67
SS172,20849,426,19050,78
SS172,21745,412,18587,80
SS172,24039,359,21020,135
SS172,24466,230,21088,76
SS172,26518,286,23147,87
SS172,27600,290,24289,87
SS172,28849,909,23883,120
SS172,32962,592,29376,79
SS172,35868,295,32247,91
SS172,37062,299,33215,166
KNR195-5-CDH23,1074,46,1680,40
KNR195-5-CDH23,3116,47,3420,35
KNR195-5-CDH23,3801,46,3980,35
KNR195-5-CDH23,4538,56,4540,40
KNR195-5-CDH23,4538,57,4540,40
KNR195-5-CDH23,5921,28,5720,30
KNR195-5-CDH23,6460,39,6230,35
KNR195-5-CDH23,6781,52,6510,45
KNR195-5-CDH23,9048,56,8600,45
KNR195-5-CDH23,9793,98,9220,60
KNR195-5-CDH23,10744,74,9920,40
KNR195-5-CDH23,11950,70,10750,45
KNR195-5-CDH23,12975,57,11650,55
KNR195-5-CDH23,12976,57,11650,55
KNR195-5-CDH23,13321,60,12000,55
KNR195-5-CDH23,13536,82,12200,70
KNR195-5-CDH23,14375,171,12800,95
KNR195-5-CDH26,7378,31,7070,35
KNR195-5-CDH26,10153,44,9460,40
KNR195-5-CDH26,11948,69,10750,45
KNR195-5-CDH26,12978,48,11650,45
KNR195-5-CDH26,13705,58,12350,50
KNR195-5-CDH26,14913,84,13100,60
KNR195-5-CDH26,15955,80,13900,60
KNR195-5-CDH26,17513,90,15150,65
KNR195-5-CDH26,19675,85,17050,70
KNR195-5-CDH26,20460,82,17700,70
KNR195-5-CDH26,21928,123,18850,110
KNR195-5-CDH26,24098,96,20900,80
KNR195-5-CDH41,10323,118,9580,50
KNR195-5-CDH41,11558,129,10500,45
KNR195-5-CDH41,13427,130,12150,100
KNR195-5-CDH41,13961.5,68,12550,45
KNR195-5-CDH41,14281,101,12750,55
KNR195-5-CDH41,14871.5,264,11850,65
KNR195-5-CDH41,15722,85,13800,55
KNR195-5-CDH41,15907,76,14350,60
KNR195-5-CDH41,16060,64,13950,60
KNR195-5-CDH41,16257,85,12700,50
KNR195-5-CDH41,16484,74,14300,70
KNR195-5-CDH41,16735,94,14450,60
KNR195-5-CDH41,18125.5,144,15650,80
KNR195-5-CDH41,20971.5,158,18150,90
KNR195-5-CDH41,21813,129,18750,100
KNR195-5-CDH41,22772,142,19700,140
KNR195-5-CDH41,23479.5,124,20400,120
KNR195-5-CDH41,23851.5,114,20600,120
KNR195-5-CDH41,25178.5,569,14200,60
KNR195-5-CDH41,26171,618,17950,70
KNR195-5-CDH41,27277.5,562,24700,210
KNR195-5-CDH41,27519,398,24000,120
KNR195-5-CDH41,28783,475,27200,190
KNR195-5-CDH41,29612,273,26200,260
KNR195-5-GGC43,1381,52,1990,50
KNR195-5-GGC43,4667,58,4630,40
KNR195-5-GGC43,6278,36,6050,35
KNR195-5-GGC43,8327,52,8030,50
KNR195-5-GGC43,9311,49,8800,40
