id,Calendar_age,Calendar_age_error,Reservoir_Min_Range_at_95.0%,Reservoir_Max_Range_at_95.0%,Mode,MidRange,Median
MR01-K03,2766.0,98.0,-203.0,892.0,562.0,344.0,635.0
MR01-K03,3983.0,251.0,-1350.0,1065.0,605.0,-142.0,609.0
MR01-K03,5456.0,252.0,-1581.0,1207.0,737.0,-187.0,711.0
MR01-K03,7634.5,209.0,-1537.0,1266.0,691.0,-136.0,710.0
MR01-K03,11463.0,85.0,80.0,697.0,580.0,388.0,583.0
MR01-K03,11934.0,86.0,119.0,794.0,649.0,456.0,649.0
MR01-K03,12631.0,51.0,72.0,996.0,845.0,534.0,848.0
MR01-K03,13392.0,50.0,64.0,830.0,708.0,447.0,707.0
MR01-K03,15151.0,107.0,-132.0,949.0,746.0,408.0,742.0
MR01-K03,16073.0,69.0,180.0,923.0,786.0,552.0,788.0
MR01-K03,18793.0,107.0,-199.0,1300.0,975.0,550.0,965.0
MR01-K03,20853.0,73.0,153.0,1119.0,963.0,636.0,937.0
MR01-K03,24644.0,254.0,-1454.0,1480.0,1011.0,13.0,1012.0
MR01-K03,26787.0,216.0,-1485.0,1564.0,1122.0,40.0,1115.0
MR01-K03,28899.0,331.0,-2212.0,1773.0,1061.0,-220.0,1030.0
MR01-K03,33631.0,383.0,-3001.0,1808.0,1058.0,-596.0,1034.0
V35-6,4689.0,111.0,-217.0,896.0,719.0,340.0,712.0
V35-6,7971.0,114.0,-473.0,1014.0,738.0,270.0,731.0
V35-6,9023.0,163.0,-691.0,964.0,678.0,136.0,680.0
V35-6,9977.0,161.0,-632.0,917.0,688.0,142.0,679.0
V35-6,10783.0,171.0,-636.0,903.0,593.0,134.0,611.0
V35-6,12738.0,130.0,-678.0,1213.0,701.0,268.0,812.0
V35-6,13708.0,195.0,-877.0,1107.0,676.0,115.0,684.0
V35-5,1293.0,479.0,-2100.0,1530.0,847.0,-285.0,631.0
V35-5,5793.0,428.0,-2084.0,1403.0,782.0,-340.0,761.0
V35-5,7626.5,288.0,-1450.0,1315.0,621.0,-68.0,711.0
V35-5,8210.0,267.0,-1193.0,1297.0,802.0,52.0,781.0
V35-5,9331.5,217.0,-1039.0,1099.0,759.0,30.0,717.0
V35-5,9995.5,372.0,-1486.0,1179.0,670.0,-154.0,621.0
V35-5,12627.0,426.0,-1987.0,1485.0,1134.0,-251.0,916.0
V35-5,15477.0,341.0,-1442.0,1302.0,794.0,-70.0,792.0
V35-5,16986.0,450.0,-3071.0,1857.0,1002.0,-607.0,990.0
V35-5,18419.0,373.0,-2109.0,1804.0,1012.0,-152.0,1032.0
V35-5,19669.5,339.0,-1495.0,1866.0,1206.0,186.0,1226.0
