id,UncalibratedMinRange_at_95.0%,UncalibratedMaxRange_at_95.0%,Mode,MidRange,Median
MR01-K03,2082.0,2829.0,2732.0,2456.0,2684.0
MR01-K03,2383.0,3921.0,3701.0,3152.0,3667.0
MR01-K03,3556.0,5094.0,4485.0,4325.0,4718.0
MR01-K03,5494.0,7174.0,6928.0,6334.0,6794.0
MR01-K03,9424.0,10073.0,10025.0,9748.0,10018.0
MR01-K03,9868.0,10345.0,10212.0,10106.0,10245.0
MR01-K03,10223.0,10690.0,10592.0,10456.0,10579.0
MR01-K03,11039.0,11613.0,11523.0,11326.0,11521.0
MR01-K03,12112.0,12872.0,12729.0,12492.0,12706.0
MR01-K03,12900.0,13448.0,13369.0,13174.0,13362.0
MR01-K03,14576.0,15742.0,15421.0,15159.0,15475.0
MR01-K03,16704.0,17452.0,17213.0,17078.0,17256.0
MR01-K03,19056.0,20770.0,20570.0,19913.0,20494.0
MR01-K03,20899.0,22736.0,22410.0,21818.0,22434.0
MR01-K03,22256.0,25286.0,24693.0,23771.0,24672.0
MR01-K03,27107.0,29743.0,28992.0,28425.0,29071.0
V35-6,3603.0,4354.0,4139.0,3978.0,4144.0
V35-6,6301.0,7350.0,7302.0,6826.0,7158.0
V35-6,7187.0,8293.0,7972.0,7740.0,8126.0
V35-6,8036.0,9122.0,8886.0,8579.0,8872.0
V35-6,8683.0,9644.0,9586.0,9164.0,9540.0
V35-6,10205.0,11043.0,10912.0,10624.0,10788.0
V35-6,10400.0,12110.0,11831.0,11255.0,11841.0
V35-5,31.0,2127.0,1590.0,1079.0,1439.0
V35-5,2976.0,5740.0,5069.0,4358.0,5058.0
V35-5,5045.0,7314.0,6929.0,6180.0,6792.0
V35-5,5710.0,7901.0,7440.0,6806.0,7420.0
V35-5,7185.0,8744.0,8320.0,7964.0,8310.0
V35-5,6865.0,9407.0,8888.0,8136.0,8879.0
V35-5,8777.0,11494.0,10372.0,10136.0,10594.0
V35-5,11454.0,13349.0,12911.0,12402.0,12938.0
V35-5,12162.0,14509.0,13833.0,13336.0,13957.0
V35-5,13308.0,15797.0,15219.0,14552.0,15167.0
V35-5,14264.0,16733.0,16365.0,15498.0,16344.0
V35-5,14278.0,17463.0,17125.0,15870.0,16767.0
MD95-2007,9847.0,10227.0,10125.0,10037.0,10130.0
MD95-2007,10037.0,10571.0,10374.0,10304.0,10399.0
MD95-2007,10110.0,10604.0,10372.0,10357.0,10456.0
MD95-2007,10146.0,10715.0,10483.0,10430.0,10510.0
MD95-2007,10202.0,10867.0,10480.0,10534.0,10545.0
MD95-2007,10392.0,11139.0,11051.0,10766.0,11044.0
MD95-2007,10588.0,11891.0,11827.0,11240.0,11695.0
MD95-2007,10944.0,12074.0,11827.0,11509.0,11857.0
MD95-2007,11409.0,12380.0,12292.0,11894.0,12247.0
TNO57-21,9454.0,10515.0,10365.0,9984.0,10364.0
TNO57-21,10038.0,11444.0,11049.0,10741.0,11047.0
TNO57-21,10263.0,12046.0,11827.0,11154.0,11749.0
TNO57-21,10964.0,12436.0,12307.0,11700.0,12283.0
TNO57-21,11582.0,12671.0,12473.0,12126.0,12468.0
TNO57-21,12197.0,13462.0,13244.0,12830.0,13240.0
TNO57-21,12639.0,13836.0,13626.0,13238.0,13628.0
TNO57-21,13046.0,14261.0,13855.0,13654.0,13973.0
TNO57-21,13448.0,14635.0,14459.0,14042.0,14447.0
TNO57-21,14198.0,15787.0,15210.0,14992.0,15358.0
TNO57-21,14554.0,16294.0,15983.0,15424.0,15969.0
TNO57-21,15003.0,16676.0,16367.0,15840.0,16410.0
TNO57-21,17103.0,18490.0,18193.0,17796.0,18115.0
SS152,62.0,2503.0,2106.0,1282.0,2131.0
SS152,878.0,3206.0,2489.0,2042.0,2784.0
SS152,3682.0,5398.0,5071.0,4540.0,5037.0
SS152,4629.0,5934.0,5760.0,5282.0,5692.0
SS152,5190.0,7112.0,6595.0,6151.0,6635.0
SS152,6538.0,8225.0,7969.0,7382.0,7958.0
SS152,6360.0,8801.0,8229.0,7580.0,8281.0
SS152,8761.0,10430.0,10362.0,9596.0,10222.0
SS152,10035.0,10599.0,10374.0,10317.0,10424.0
SS152,9912.0,11066.0,10910.0,10489.0,10664.0
SS152,10213.0,12450.0,12027.0,11332.0,12111.0
SS152,11563.0,12834.0,12488.0,12198.0,12526.0
SS152,12174.0,13370.0,13214.0,12772.0,13144.0
SS152,12723.0,13918.0,13805.0,13320.0,13733.0
