id,cal_age,cal_sigma,rad_res,rad_res_sd,mid1,mid2,wmn,med,mode,mid1_resage,mid2_resage,wmn_resage,med_resage,mode_resage
MR01-K03,2766.0,98.0,3290.0,80.0,2536.0,2629.0,2713.0,2684.0,2732.0,652.0,663.0,709.0,635.0,562.0
MR01-K03,3983.0,251.0,4270.0,200.0,3314.0,3613.0,3658.0,3667.0,3701.0,615.0,684.0,849.0,609.0,605.0
MR01-K03,5456.0,252.0,5450.0,220.0,4738.0,4871.0,5110.0,4718.0,4485.0,694.0,605.0,521.0,711.0,737.0
MR01-K03,7634.5,209.0,7500.0,220.0,6280.0,6792.0,6767.0,6794.0,6928.0,724.0,658.0,579.0,710.0,691.0
MR01-K03,11463.0,85.0,10600.0,50.0,10006.0,9894.0,9878.0,10018.0,10025.0,588.0,709.0,698.0,583.0,580.0
MR01-K03,11934.0,86.0,10900.0,55.0,10241.0,10206.0,10242.0,10245.0,10212.0,652.0,680.0,709.0,649.0,649.0
MR01-K03,12631.0,51.0,11420.0,60.0,10571.0,10677.0,10760.0,10579.0,10592.0,850.0,760.0,769.0,848.0,845.0
MR01-K03,13392.0,50.0,12230.0,50.0,11512.0,11531.0,11441.0,11521.0,11523.0,710.0,680.0,718.0,707.0,708.0
MR01-K03,15151.0,107.0,13450.0,85.0,12716.0,12722.0,12763.0,12706.0,12729.0,740.0,761.0,730.0,742.0,746.0
MR01-K03,16073.0,69.0,14150.0,55.0,13354.0,13358.0,13371.0,13362.0,13369.0,792.0,789.0,808.0,788.0,786.0
MR01-K03,18793.0,107.0,16450.0,110.0,15472.0,15390.0,15248.0,15475.0,15421.0,970.0,986.0,1066.0,965.0,975.0
MR01-K03,20853.0,73.0,18200.0,65.0,17283.0,17270.0,17222.0,17256.0,17213.0,922.0,906.0,999.0,937.0,963.0
MR01-K03,24644.0,254.0,21500.0,220.0,20083.0,20702.0,21359.0,20494.0,20570.0,1016.0,969.0,584.0,1012.0,1011.0
MR01-K03,26787.0,216.0,23560.0,220.0,22427.0,22633.0,23102.0,22434.0,22410.0,1110.0,958.0,924.0,1115.0,1122.0
MR01-K03,28899.0,331.0,25700.0,300.0,24544.0,24518.0,24620.0,24672.0,24693.0,1006.0,1076.0,1400.0,1030.0,1061.0
MR01-K03,33631.0,383.0,30130.0,360.0,29114.0,29506.0,29655.0,29071.0,28992.0,1008.0,626.0,335.0,1034.0,1058.0
V35-6,4689.0,111.0,4860.0,90.0,4106.0,4185.0,4172.0,4144.0,4139.0,700.0,688.0,692.0,712.0,719.0
V35-6,7971.0,114.0,7890.0,110.0,7138.0,7151.0,7211.0,7158.0,7302.0,730.0,770.0,767.0,731.0,738.0
V35-6,9023.0,163.0,8780.0,120.0,8112.0,8096.0,8135.0,8126.0,7972.0,680.0,674.0,802.0,680.0,678.0
V35-6,9977.0,161.0,9550.0,120.0,8866.0,8886.0,8959.0,8872.0,8886.0,664.0,682.0,614.0,679.0,688.0
V35-6,10783.0,171.0,10130.0,120.0,9246.0,9467.0,9545.0,9540.0,9586.0,630.0,668.0,683.0,611.0,593.0
V35-6,12738.0,130.0,11590.0,140.0,10592.0,11014.0,11370.0,10788.0,10912.0,826.0,746.0,593.0,812.0,701.0
V35-6,13708.0,195.0,12540.0,160.0,11805.0,11541.0,11875.0,11841.0,11831.0,698.0,907.0,1272.0,684.0,676.0
V35-5,1293.0,479.0,2055.0,100.0,114.0,1955.0,3054.0,1439.0,1590.0,690.0,252.0,-397.0,631.0,847.0
V35-5,5793.0,428.0,5830.0,110.0,4466.0,5278.0,5349.0,5058.0,5069.0,742.0,552.0,621.0,761.0,782.0
V35-5,7626.5,288.0,7500.0,150.0,6172.0,6742.0,6759.0,6792.0,6929.0,728.0,736.0,770.0,711.0,621.0
V35-5,8210.0,267.0,8190.0,140.0,7358.0,7303.0,7467.0,7420.0,7440.0,769.0,862.0,933.0,781.0,802.0
V35-5,9331.5,217.0,9050.0,160.0,7974.0,8348.0,8338.0,8310.0,8320.0,663.0,712.0,784.0,717.0,759.0
V35-5,9995.5,372.0,9520.0,150.0,8366.0,8674.0,8488.0,8879.0,8888.0,618.0,813.0,1026.0,621.0,670.0
V35-5,12627.0,426.0,11580.0,200.0,10102.0,10818.0,11387.0,10594.0,10372.0,779.0,712.0,1264.0,916.0,1134.0
