Event,Latitude,Longitude,Cal age [ka BP],"Cal age std e [±] (calculated, 1 sigma)","Age dated [ka] (planktic, Age, 14C AMS)","Age std e [±] (planktic, calculated, 1 sigma)","Age dated [ka] (Coeval atmospheric 14C age, A...)"
MR01-K03,41.12,142.4,2766.0,98.0,3290.0,80.0,2684.0
MR01-K03,41.12,142.4,3983.0,251.0,4270.0,200.0,3671.0
MR01-K03,41.12,142.4,5456.0,252.0,5450.0,220.0,4689.2
MR01-K03,41.12,142.4,7634.5,209.0,7500.0,220.0,6797.4
MR01-K03,41.12,142.4,11463.0,85.0,10600.0,50.0,10010.0
MR01-K03,41.12,142.4,11934.0,86.0,10900.0,55.0,10228.0
MR01-K03,41.12,142.4,12631.0,51.0,11420.0,60.0,10606.0
MR01-K03,41.12,142.4,13392.0,50.0,12230.0,50.0,11511.0
MR01-K03,41.12,142.4,15151.0,107.0,13450.0,85.0,12708.0
MR01-K03,41.12,142.4,16073.0,69.0,14150.0,55.0,13364.0
MR01-K03,41.12,142.4,18793.0,107.0,16450.0,110.0,15471.0
MR01-K03,41.12,142.4,20853.0,73.0,18200.0,65.0,17256.0
MR01-K03,41.12,142.4,24644.0,254.0,21500.0,220.0,20496.0
MR01-K03,41.12,142.4,26787.0,216.0,23560.0,220.0,22357.0
MR01-K03,41.12,142.4,28899.0,331.0,25700.0,300.0,24670.0
MR01-K03,41.12,142.4,33631.0,383.0,30130.0,360.0,29033.0
V35-6,7.2,112.2,4689.0,111.0,4860.0,90.0,4132.0
V35-6,7.2,112.2,7971.0,114.0,7890.0,110.0,7161.0
V35-6,7.2,112.2,9023.0,163.0,8780.0,120.0,8134.8
V35-6,7.2,112.2,9977.0,161.0,9550.0,120.0,8925.800000000001
V35-6,7.2,112.2,10783.0,171.0,10130.0,120.0,9554.8
V35-6,7.2,112.2,12738.0,130.0,11590.0,140.0,10775.0
V35-6,7.2,112.2,13708.0,195.0,12540.0,160.0,11822.0
V35-5,7.195,112.0766667,1293.0,479.0,2055.0,100.0,1365.0
V35-5,7.195,112.0766667,5793.0,428.0,5830.0,110.0,5081.2
V35-5,7.195,112.0766667,7626.5,288.0,7500.0,150.0,6801.0
V35-5,7.195,112.0766667,8210.0,267.0,8189.999999999999,140.0,7439.0
V35-5,7.195,112.0766667,9331.5,217.0,9050.0,160.0,8348.5
V35-5,7.195,112.0766667,9995.5,372.0,9520.0,150.0,8875.6
V35-5,7.195,112.0766667,12627.0,426.0,11580.0,200.0,10600.0
V35-5,7.195,112.0766667,15477.0,341.0,13740.0,190.0,12926.0
V35-5,7.195,112.0766667,16986.0,450.0,14990.0,420.0,13932.0
V35-5,7.195,112.0766667,18419.0,373.0,16170.000000000002,290.0,15239.0
V35-5,7.195,112.0766667,19669.5,339.0,17540.0,260.0,16385.0
V35-5,7.195,112.0766667,20268.0,435.0,17020.0,390.0,16751.0
MD95-2007,57.5,-8.4,11775.5,68.165,10664.0,65.0,10146.0
MD95-2007,57.5,-8.4,12429.5,105.82625,11353.0,62.0,10362.0
MD95-2007,57.5,-8.4,12482.25,103.763125,11299.0,66.0,10473.0
MD95-2007,57.5,-8.4,12551.5,103.76249999999999,11500.0,90.0,10477.0
MD95-2007,57.5,-8.4,12596.0,98.09937500000001,11296.0,77.0,10504.0
MD95-2007,57.5,-8.4,12973.25,71.085625,11471.0,62.0,11048.0
MD95-2007,57.5,-8.4,13535.875,139.98499999999999,12353.0,74.0,11749.0
MD95-2007,57.5,-8.4,13740.0,137.5875,12630.0,100.0,11824.0
MD95-2007,57.5,-8.4,14125.5,121.496875,12790.0,120.0,12250.0
TNO57-21,-41.1,7.8,12201.0,200.0,10900.0,45.0,10406.0
TNO57-21,-41.1,7.8,12980.0,200.0,12200.0,75.0,11047.0
TNO57-21,-41.1,7.8,13580.0,200.0,12700.0,55.0,11701.0
TNO57-21,-41.1,7.8,14180.0,200.0,12950.0,55.0,12287.0
TNO57-21,-41.1,7.8,14770.0,200.0,13150.0,70.0,12370.0
TNO57-21,-41.1,7.8,15892.0,200.0,14750.0,65.0,13239.0
TNO57-21,-41.1,7.8,16453.0,200.0,14850.0,60.0,13628.0
TNO57-21,-41.1,7.8,17014.0,200.0,15650.0,80.0,13966.0
TNO57-21,-41.1,7.8,17575.0,200.0,16050.0,65.0,14464.0
TNO57-21,-41.1,7.8,18697.0,200.0,16900.0,80.0,15352.0
TNO57-21,-41.1,7.8,19259.0,200.0,17400.0,70.0,15975.0
TNO57-21,-41.1,7.8,19820.0,200.0,18000.0,85.0,16376.000000000002
TNO57-21,-41.1,7.8,22064.0,200.0,19300.0,90.0,18110.0
SS152,3.89,78.06,2103.0,322.0,2523.0,108.0,2117.0
SS152,3.89,78.06,2860.0,336.0,3164.0,45.0,2771.0
SS152,3.89,78.06,5761.0,275.0,5547.0,35.0,5073.400000000001
SS152,3.89,78.06,6468.0,170.0,6190.0,75.0,5688.6
SS152,3.89,78.06,7523.0,250.0,7158.0,42.0,6678.200000000001
SS152,3.89,78.06,8813.0,213.0,8405.0,45.0,7991.799999999999
SS152,3.89,78.06,9278.0,323.0,8715.0,47.0,8266.6
SS152,3.89,78.06,11897.0,326.0,10708.0,87.0,10226.0
SS152,3.89,78.06,12462.0,112.0,11081.0,34.0,10401.0
SS152,3.89,78.06,12697.0,194.0,11176.0,94.0,10653.0
SS152,3.89,78.06,14026.0,345.0,12551.0,60.0,12077.0
SS152,3.89,78.06,14917.0,228.0,13119.0,49.0,12517.0
SS152,3.89,78.06,15758.0,191.0,13678.0,37.0,13142.0
SS152,3.89,78.06,16610.0,209.0,14369.0,76.0,13733.0
SS152,3.89,78.06,17165.0,209.0,14812.0,42.0,14159.0
SS152,3.89,78.06,18000.0,297.0,15495.0,38.0,14683.0
SS152,3.89,78.06,18928.0,385.0,16453.0,199.0,15691.0
SS172,6.03,89.94,6091.0,372.0,5823.0,40.0,5276.4
SS172,6.03,89.94,7633.0,382.0,7317.0,59.0,6798.6
SS172,6.03,89.94,9347.0,369.0,8797.0,33.0,8340.8
SS172,6.03,89.94,11474.0,269.0,10438.0,52.0,10018.0
SS172,6.03,89.94,12094.0,167.0,10789.0,46.0,10332.0
SS172,6.03,89.94,12667.0,200.0,11296.0,74.0,10594.0
SS172,6.03,89.94,13643.0,177.0,12271.0,61.0,11808.0
SS172,6.03,89.94,14174.0,127.0,12804.0,65.0,12281.0
SS172,6.03,89.94,14370.0,139.0,12672.0,48.0,12398.0
SS172,6.03,89.94,14986.0,252.0,13110.0,51.0,12581.0
SS172,6.03,89.94,15946.0,437.0,14283.0,57.0,13266.0
SS172,6.03,89.94,16680.0,548.0,13628.0,59.0,13780.0
SS172,6.03,89.94,17724.0,542.0,15469.0,66.0,14467.0
SS172,6.03,89.94,18290.0,541.0,15093.0,57.0,15108.0
SS172,6.03,89.94,19139.0,497.0,17263.0,75.0,15877.0
SS172,6.03,89.94,19658.0,401.0,16890.0,67.0,16382.000000000002
SS172,6.03,89.94,20849.0,426.0,19050.0,78.0,17250.0
SS172,6.03,89.94,21745.0,412.0,18587.0,80.0,17834.0
SS172,6.03,89.94,24039.0,359.0,21020.0,135.0,20034.0
SS172,6.03,89.94,24466.0,230.0,21088.0,76.0,20352.0
SS172,6.03,89.94,26518.0,286.0,23147.0,87.0,22428.0
SS172,6.03,89.94,27600.0,290.0,24289.0,87.0,23302.0
SS172,6.03,89.94,28849.0,909.0,23883.0,120.0,24639.0
SS172,6.03,89.94,32962.0,592.0,29376.0,79.0,28541.0
SS172,6.03,89.94,35868.0,295.0,32247.0,91.0,31438.0
SS172,6.03,89.94,37062.0,299.0,33215.0,166.0,32749.000000000004
KNR195-5-CDH23,-3.749166667,-81.13416667,1074.0,46.0,1680.0,40.0,1193.0
KNR195-5-CDH23,-3.749166667,-81.13416667,3116.0,47.0,3420.0,35.0,2959.0
KNR195-5-CDH23,-3.749166667,-81.13416667,3801.0,46.0,3980.0,35.0,3470.0
KNR195-5-CDH23,-3.749166667,-81.13416667,4538.0,56.0,4540.0,40.0,4090.0
KNR195-5-CDH23,-3.749166667,-81.13416667,4538.0,57.0,4540.0,40.0,4090.0
KNR195-5-CDH23,-3.749166667,-81.13416667,5921.0,28.0,5720.0,30.0,5167.0
KNR195-5-CDH23,-3.749166667,-81.13416667,6460.0,39.0,6230.0,35.0,5693.0
KNR195-5-CDH23,-3.749166667,-81.13416667,6781.0,52.0,6510.0,45.0,5947.0
KNR195-5-CDH23,-3.749166667,-81.13416667,9048.0,56.0,8600.0,45.0,8178.200000000001
KNR195-5-CDH23,-3.749166667,-81.13416667,9793.0,98.0,9220.0,60.0,8803.599999999999
KNR195-5-CDH23,-3.749166667,-81.13416667,10744.0,74.0,9920.0,40.0,9506.199999999999
KNR195-5-CDH23,-3.749166667,-81.13416667,11950.0,70.0,10750.0,45.0,10281.0
KNR195-5-CDH23,-3.749166667,-81.13416667,12975.0,57.0,11650.0,55.0,11048.0
KNR195-5-CDH23,-3.749166667,-81.13416667,12976.0,57.0,11650.0,55.0,11048.0
KNR195-5-CDH23,-3.749166667,-81.13416667,13321.0,60.0,12000.0,55.0,11466.0
KNR195-5-CDH23,-3.749166667,-81.13416667,13536.0,82.0,12200.0,70.0,11749.0
KNR195-5-CDH23,-3.749166667,-81.13416667,14375.0,171.0,12800.0,95.0,12398.0
KNR195-5-CDH26,-3.986,-81.30866667,7378.0,31.0,7070.0,35.0,6459.8
KNR195-5-CDH26,-3.986,-81.30866667,10153.0,44.0,9460.0,40.0,8917.199999999999
KNR195-5-CDH26,-3.986,-81.30866667,11948.0,69.0,10750.0,45.0,10277.0
KNR195-5-CDH26,-3.986,-81.30866667,12978.0,48.0,11650.0,45.0,11047.0
KNR195-5-CDH26,-3.986,-81.30866667,13705.0,58.0,12350.0,50.0,11827.0
KNR195-5-CDH26,-3.986,-81.30866667,14913.0,84.0,13100.0,60.0,12515.0
KNR195-5-CDH26,-3.986,-81.30866667,15955.0,80.0,13900.0,60.0,13272.0
KNR195-5-CDH26,-3.986,-81.30866667,17513.0,90.0,15150.0,65.0,14448.0
KNR195-5-CDH26,-3.986,-81.30866667,19675.0,85.0,17050.0,70.0,16384.0
KNR195-5-CDH26,-3.986,-81.30866667,20460.0,82.0,17700.0,70.0,16917.0
KNR195-5-CDH26,-3.986,-81.30866667,21928.0,123.0,18850.0,110.0,17968.0
KNR195-5-CDH26,-3.986,-81.30866667,24098.0,96.0,20900.0,80.0,20056.0
KNR195-5-CDH41,-1.265666667,-89.698,10323.0,118.0,9580.0,50.0,9196.400000000001
KNR195-5-CDH41,-1.265666667,-89.698,11558.0,129.0,10500.0,45.0,10026.0
KNR195-5-CDH41,-1.265666667,-89.698,13427.0,130.0,12150.0,100.0,11539.0
KNR195-5-CDH41,-1.265666667,-89.698,13961.5,68.0,12550.0,45.0,12002.0
KNR195-5-CDH41,-1.265666667,-89.698,14281.0,101.0,12750.0,55.0,12330.0
KNR195-5-CDH41,-1.265666667,-89.698,14871.5,264.0,11850.0,65.0,12501.0
KNR195-5-CDH41,-1.265666667,-89.698,15722.0,85.0,13800.0,55.0,13113.0
KNR195-5-CDH41,-1.265666667,-89.698,15907.0,76.0,14350.0,60.0,13246.0
KNR195-5-CDH41,-1.265666667,-89.698,16059.999999999998,64.0,13950.0,60.0,13356.0
KNR195-5-CDH41,-1.265666667,-89.698,16257.000000000002,85.0,12700.0,50.0,13480.0
KNR195-5-CDH41,-1.265666667,-89.698,16484.0,74.0,14300.0,70.0,13643.0
KNR195-5-CDH41,-1.265666667,-89.698,16735.0,94.0,14450.0,60.0,13806.0
KNR195-5-CDH41,-1.265666667,-89.698,18125.5,144.0,15650.0,80.0,14732.0
KNR195-5-CDH41,-1.265666667,-89.698,20971.5,158.0,18150.0,90.0,17431.0
KNR195-5-CDH41,-1.265666667,-89.698,21813.0,129.0,18750.0,100.0,17887.0
KNR195-5-CDH41,-1.265666667,-89.698,22772.0,142.0,19700.0,140.0,18791.0
KNR195-5-CDH41,-1.265666667,-89.698,23479.5,124.0,20400.0,120.0,19569.0
KNR195-5-CDH41,-1.265666667,-89.698,23851.5,114.0,20600.0,120.0,19888.0
KNR195-5-CDH41,-1.265666667,-89.698,25178.5,569.0,14200.0,60.0,20876.0
KNR195-5-CDH41,-1.265666667,-89.698,26171.0,618.0,17950.0,70.0,21971.0
KNR195-5-CDH41,-1.265666667,-89.698,27277.5,562.0,24700.0,210.0,22999.0
KNR195-5-CDH41,-1.265666667,-89.698,27519.0,398.0,24000.0,120.0,23289.0
KNR195-5-CDH41,-1.265666667,-89.698,28783.0,475.0,27200.0,190.0,24559.0
KNR195-5-CDH41,-1.265666667,-89.698,29612.0,273.0,26200.0,260.0,25288.0
KNR195-5-GGC43,-1.252166667,-89.6845,1381.0,52.0,1990.0,50.0,1511.0
KNR195-5-GGC43,-1.252166667,-89.6845,4667.0,58.0,4630.0,40.0,4166.0
KNR195-5-GGC43,-1.252166667,-89.6845,6278.0,36.0,6050.0,35.0,5436.0
KNR195-5-GGC43,-1.252166667,-89.6845,8327.0,52.0,8029.999999999999,50.0,7467.4
KNR195-5-GGC43,-1.252166667,-89.6845,9311.0,49.0,8800.0,40.0,8315.2
KNR195-5-GGC43,-1.252166667,-89.6845,11116.0,34.0,10150.0,35.0,9658.0
KNR195-5-GGC43,-1.252166667,-89.6845,12533.0,69.0,11150.0,70.0,10535.0
TTN013-18,-2.0,-140.0,17753.5,603.0,15300.0,55.0,14479.0
TTN013-18,-2.0,-140.0,22189.5,506.0,19125.0,75.0,18229.0
TTN013-18,-2.0,-140.0,24685.5,377.0,21375.0,140.0,20531.0
TTN013-18,-2.0,-140.0,26061.5,327.0,22650.0,120.0,21947.0
TTN013-18,-2.0,-140.0,27362.5,329.0,24225.0,180.0,23192.0
TTN013-18,-2.0,-140.0,28556.5,526.0,22333.333329999998,190.0,24243.0
TTN013-18,-2.0,-140.0,30101.5,686.0,22513.333329999998,180.0,25902.0
TTN013-18,-2.0,-140.0,31790.0,466.0,28545.0,180.0,27908.0
TT154-10,-10.28333333,-111.3333333,14363.0,251.0,12780.0,160.0,12397.0
TT154-10,-10.28333333,-111.3333333,18520.0,232.0,16040.0,225.0,15114.0
TT154-10,-10.28333333,-111.3333333,19101.0,273.0,16560.0,240.0,15833.0
TT154-10,-10.28333333,-111.3333333,20078.0,439.0,17390.0,370.0,16607.0
TT154-10,-10.28333333,-111.3333333,23263.0,228.0,20110.0,220.0,19368.0
TT154-10,-10.28333333,-111.3333333,7013.0,120.0,6715.0,110.0,6163.8
