id,Reservoir_derived_14C_age,Reservoir_derived_14C_error,Calendar_age,Calendar_age_error
H82-2,10455,20,11523,31
H82-2-2,10465,20,11523,31
H82-4,10740,20,11824,26
H82-6,11050,20,12548,32
H82-8,11655,20,12999,26
H82-10,12220,20,13497,39
H82-10-2,12215,20,13497,39
H82-core-5,9955,25,10730,50
H82-core-5-2,9970,20,10730,50
H82-core-7,10050,20,10900,55
H82-core-14,10340,25,11370,55
H82-core-19,10385,25,11560,40
H82-core-19-2,10425,20,11560,40
H82-core-21,10475,25,11640,40
H82-core-25,10635,25,11880,35
H82-core-30,10765,25,12130,40
H82-core-35,10825,25,12310,40
H82-core-42,11040,25,12510,40
H82-core-42-2,10970,35,12510,40
H82-core-44,10980,25,12620,40
H82-core-53,11370,25,12850,40
H82-core-53-2,11420,20,12850,40
H82-core-56,11440,25,12930,40
H82-core-55,11565,30,12950,40
H82-core-60,11630,25,13000,40
H82-core-60-2,11590,25,13000,40
H82-core-65,11775,25,13210,35
H82-core-70,11845,30,13300,35
H82-core-75,12160,30,13450,40
H82-core-80,12200,30,13540,45
H82-core-85,12290,30,13660,45
H82-core-90,12315,30,13730,45
H82-core-95,12475,30,13890,50
H82-core-95-2,12485,30,13890,50
H82-A1,9840,25,10674,90
H82-A2,9960,25,10764,48
H82-A3,10035,25,10938,28
H82-A4,10125,30,11141,26
H82-A5,10500,30,11298,22
H82-A5-2,10490,20,11298,22
H82-A6,10420,30,11451,23
H82-A7,10435,25,11548,22
H82-A8,10545,30,11664,22
H82-A8-2,10555,20,11664,22
H82-A9,10585,30,11766,22
H82-A10,10640,30,11845,23
H82-A11,10755,25,11921,22
H82-A12,10780,30,12020,22
H82-A13,10865,30,12126,23
H82-A13-2,10860,20,12126,23
H82-A14,10830,30,12213,23
H82-A15,10815,35,12319,21
H82-A16,10885,30,12430,17
H82-A16-2,10900,20,12430,17
H82-A17,11105,35,12558,18
H82-A17-2,11165,20,12558,18
H82-A18,11085,25,12661,21
H82-A18-2,11140,30,12661,21
H82-A19,11240,30,12723,21
H82-A19-2,11205,20,12723,21
H82-A20,11390,30,12760,22
H82-A20-2,11335,20,12760,22
H82-A21,11465,30,12840,23
H82-A22,11495,30,12930,20
H82-A23,11545,30,12986,20
H82-A24,11670,30,13033,23
H82-A25,11745,30,13100,23
H82-A26,11740,20,13174,20
H82-A26-2,11745,20,13174,20
H82-A27,11880,20,13277,21
H82-A28,12000,20,13374,22
H82-A29,12030,20,13436,24
H82-A29-2,11990,20,13436,24
H82-A30,12125,25,13508,26
H82-A31,12190,20,13541,25
H82-A32,12235,25,13609,26
H82-A33,12295,25,13705,29
H82-A34,12285,25,13770,32
H82-A35,12390,25,13791,30
H82-A36,12425,25,13800,23
