id,Calendar_age,Calendar_age_error,F14R_Min_Range_at_95.0%,F14R_Max_Range_at_95.0%,Mode,MidRange,Median
H82-2,11523,31,0.9427,0.978,0.9489,0.9602,0.9492
H82-2-2,11523,31,0.9415,0.9767,0.9478,0.959,0.948
H82-4,11824,26,0.9231,0.9638,0.9328,0.9432,0.9317
H82-6,12548,32,0.9268,0.9813,0.9321,0.9536,0.9343
H82-8,12999,26,0.9224,0.9706,0.9279,0.9462,0.928
H82-10,13497,39,0.9178,0.9839,0.9281,0.9502,0.9314
H82-10-2,13497,39,0.9184,0.9846,0.9287,0.951,0.932
H82-core-5,10730,50,0.9325,0.9875,0.9434,0.9596,0.9443
H82-core-5-2,10730,50,0.9312,0.9831,0.9414,0.9568,0.9425
H82-core-7,10900,55,0.937,0.9851,0.9456,0.9607,0.9454
H82-core-14,11370,55,0.9459,0.9933,0.9549,0.9694,0.9559
H82-core-19,11560,40,0.95,0.9929,0.957,0.9713,0.9572
H82-core-19-2,11560,40,0.9459,0.9858,0.9521,0.9656,0.9524
H82-core-21,11640,40,0.9414,0.99,0.95,0.9654,0.9499
H82-core-25,11880,35,0.9407,0.9849,0.9485,0.9626,0.9486
H82-core-30,12130,40,0.9439,0.9833,0.9505,0.9633,0.9506
H82-core-35,12310,40,0.9399,0.9875,0.9471,0.9633,0.9473
H82-core-42,12510,40,0.9197,0.9886,0.9387,0.9536,0.9355
H82-core-42-2,12510,40,0.9272,1.0009,0.9458,0.9633,0.9435
H82-core-44,12620,40,0.9365,1.0187,0.9526,0.9767,0.9492
H82-core-53,12850,40,0.9402,0.988,0.9513,0.9638,0.9502
H82-core-53-2,12850,40,0.9349,0.9793,0.9458,0.9569,0.9445
H82-core-56,12930,40,0.9405,0.999,0.9507,0.9694,0.95
H82-core-55,12950,40,0.9276,0.9923,0.9367,0.9594,0.9365
H82-core-60,13000,40,0.9242,0.9894,0.9307,0.9562,0.9309
H82-core-60-2,13000,40,0.9288,0.9943,0.9353,0.9609,0.9356
H82-core-65,13210,35,0.9355,0.9953,0.9484,0.9649,0.9479
H82-core-70,13300,35,0.9376,1.0015,0.9453,0.969,0.9481
H82-core-75,13450,40,0.9187,0.9922,0.9275,0.9547,0.9294
H82-core-80,13540,45,0.9253,0.9944,0.9404,0.9593,0.9398
H82-core-85,13660,45,0.9312,0.9983,0.944,0.9641,0.9435
H82-core-90,13730,45,0.9335,1.0011,0.9416,0.9667,0.9429
H82-core-95,13890,50,0.9362,0.9984,0.9468,0.9667,0.9467
