id,Calendar_age,Calendar_age_error,Reservoir_Min_Range_at_95.0%,Reservoir_Max_Range_at_95.0%,Mode,MidRange,Median
H82-2,11523,31,179.0,474.0,421.0,326.0,419.0
H82-2-2,11523,31,189.0,484.0,431.0,336.0,429.0
H82-4,11824,26,296.0,643.0,559.0,470.0,568.0
H82-6,12548,32,152.0,611.0,565.0,382.0,546.0
H82-8,12999,26,240.0,649.0,601.0,444.0,600.0
H82-10,13497,39,130.0,689.0,599.0,410.0,571.0
H82-10-2,13497,39,125.0,684.0,594.0,404.0,566.0
H82-core-5,10730,50,101.0,561.0,468.0,331.0,460.0
H82-core-5-2,10730,50,137.0,573.0,485.0,355.0,476.0
H82-core-7,10900,55,121.0,523.0,449.0,322.0,451.0
H82-core-14,11370,55,54.0,447.0,371.0,250.0,362.0
H82-core-19,11560,40,57.0,412.0,353.0,234.0,351.0
H82-core-19-2,11560,40,115.0,447.0,394.0,281.0,392.0
H82-core-21,11640,40,81.0,485.0,412.0,283.0,413.0
H82-core-25,11880,35,122.0,491.0,425.0,306.0,424.0
H82-core-30,12130,40,135.0,464.0,408.0,300.0,407.0
H82-core-35,12310,40,101.0,498.0,437.0,300.0,435.0
H82-core-42,12510,40,92.0,672.0,508.0,382.0,536.0
H82-core-42-2,12510,40,-7.0,607.0,448.0,300.0,467.0
H82-core-44,12620,40,-149.0,527.0,390.0,189.0,419.0
H82-core-53,12850,40,97.0,495.0,401.0,296.0,410.0
H82-core-53-2,12850,40,168.0,541.0,448.0,354.0,459.0
H82-core-56,12930,40,8.0,493.0,406.0,250.0,412.0
H82-core-55,12950,40,62.0,604.0,525.0,333.0,527.0
H82-core-60,13000,40,86.0,633.0,577.0,360.0,575.0
H82-core-60-2,13000,40,46.0,593.0,537.0,320.0,535.0
H82-core-65,13210,35,38.0,536.0,426.0,287.0,430.0
H82-core-70,13300,35,-12.0,518.0,452.0,253.0,428.0
H82-core-75,13450,40,63.0,681.0,605.0,372.0,588.0
H82-core-80,13540,45,45.0,624.0,494.0,334.0,499.0
H82-core-85,13660,45,14.0,573.0,463.0,294.0,467.0
H82-core-90,13730,45,-9.0,553.0,483.0,272.0,472.0
H82-core-95,13890,50,13.0,530.0,439.0,272.0,440.0
H82-core-95-2,13890,50,23.0,540.0,449.0,282.0,450.0
H82-A1,10674,90,-70.0,537.0,414.0,234.0,398.0
H82-A2,10764,48,96.0,533.0,413.0,314.0,426.0
H82-A3,10938,28,146.0,513.0,431.0,330.0,434.0
H82-A4,11141,26,10.0,530.0,465.0,270.0,462.0
H82-A5,11298,22,240.0,637.0,566.0,438.0,566.0
H82-A5-2,11298,22,274.0,616.0,555.0,445.0,556.0
H82-A6,11451,23,106.0,464.0,401.0,285.0,400.0
H82-A7,11548,22,138.0,459.0,403.0,298.0,401.0
H82-A8,11664,22,173.0,539.0,472.0,356.0,471.0
H82-A8-2,11664,22,227.0,538.0,482.0,382.0,481.0
H82-A9,11766,22,121.0,525.0,455.0,323.0,454.0
H82-A10,11845,23,145.0,524.0,442.0,334.0,445.0
H82-A11,11921,22,243.0,589.0,535.0,416.0,528.0
H82-A12,12020,22,191.0,526.0,465.0,358.0,465.0
H82-A13,12126,23,227.0,567.0,507.0,397.0,507.0
H82-A13-2,12126,23,273.0,550.0,502.0,412.0,502.0
H82-A14,12213,23,159.0,503.0,438.0,331.0,437.0
H82-A15,12319,21,96.0,502.0,427.0,299.0,425.0
H82-A16,12430,17,119.0,588.0,524.0,354.0,522.0
H82-A16-2,12430,17,177.0,591.0,539.0,384.0,537.0
H82-A17,12558,18,252.0,689.0,623.0,470.0,618.0
H82-A17-2,12558,18,381.0,730.0,687.0,556.0,679.0
H82-A18,12661,21,2.0,543.0,488.0,272.0,483.0
H82-A18-2,12661,21,39.0,604.0,542.0,322.0,538.0
H82-A19,12723,21,72.0,624.0,555.0,348.0,524.0
H82-A19-2,12723,21,84.0,581.0,525.0,332.0,491.0
H82-A20,12760,22,184.0,685.0,491.0,434.0,525.0
H82-A20-2,12760,22,174.0,627.0,431.0,400.0,467.0
H82-A21,12840,23,197.0,592.0,508.0,394.0,512.0
H82-A22,12930,20,181.0,530.0,461.0,356.0,462.0
H82-A23,12986,20,172.0,554.0,494.0,363.0,493.0
H82-A24,13033,23,191.0,670.0,610.0,430.0,609.0
H82-A25,13100,23,154.0,698.0,527.0,426.0,564.0
H82-A26,13174,20,149.0,530.0,406.0,340.0,433.0
H82-A26-2,13174,20,154.0,535.0,411.0,344.0,438.0
H82-A27,13277,21,150.0,551.0,496.0,350.0,493.0
H82-A28,13374,22,174.0,545.0,485.0,360.0,484.0
H82-A29,13436,24,75.0,546.0,484.0,310.0,479.0
H82-A29-2,13436,24,35.0,506.0,444.0,270.0,439.0
H82-A30,13508,26,44.0,555.0,425.0,300.0,447.0
H82-A31,13541,25,97.0,566.0,474.0,332.0,481.0
H82-A32,13609,26,96.0,573.0,420.0,334.0,442.0
H82-A33,13705,29,60.0,532.0,468.0,296.0,467.0
H82-A34,13770,32,-15.0,499.0,414.0,242.0,401.0
H82-A35,13791,30,80.0,574.0,498.0,327.0,455.0
H82-A36,13800,23,126.0,576.0,419.0,351.0,457.0
