id,UncalibratedMinRange_at_95.0%,UncalibratedMaxRange_at_95.0%,Mode,MidRange,Median
H82-2,9921.0,10077.0,10035.0,9999.0,10034.0
H82-2-2,9921.0,10077.0,10035.0,9999.0,10034.0
H82-4,10032.0,10232.0,10192.0,10132.0,10171.0
H82-6,10315.0,10572.0,10477.0,10444.0,10500.0
H82-8,10953.0,11090.0,11056.0,11022.0,11053.0
H82-10,11424.0,11761.0,11615.0,11592.0,11646.0
H82-10-2,11424.0,11761.0,11615.0,11592.0,11646.0
H82-core-5,9274.0,9590.0,9480.0,9432.0,9492.0
H82-core-5-2,9274.0,9590.0,9480.0,9432.0,9492.0
H82-core-7,9403.0,9650.0,9600.0,9526.0,9597.0
H82-core-14,9635.0,10053.0,9960.0,9844.0,9974.0
H82-core-19,9916.0,10079.0,10030.0,9998.0,10031.0
H82-core-19-2,9916.0,10079.0,10030.0,9998.0,10031.0
H82-core-21,9920.0,10113.0,10068.0,10016.0,10061.0
H82-core-25,10049.0,10259.0,10212.0,10154.0,10209.0
H82-core-30,10248.0,10399.0,10356.0,10324.0,10356.0
H82-core-35,10277.0,10437.0,10383.0,10357.0,10387.0
H82-core-42,10276.0,10573.0,10547.0,10424.0,10503.0
H82-core-42-2,10276.0,10573.0,10547.0,10424.0,10503.0
H82-core-44,10379.0,10640.0,10592.0,10510.0,10565.0
H82-core-53,10622.0,11028.0,10975.0,10825.0,10961.0
H82-core-53-2,10622.0,11028.0,10975.0,10825.0,10961.0
H82-core-56,10850.0,11073.0,11039.0,10962.0,11028.0
H82-core-55,10862.0,11079.0,11042.0,10970.0,11038.0
H82-core-60,10908.0,11096.0,11052.0,11002.0,11052.0
H82-core-60-2,10908.0,11096.0,11052.0,11002.0,11052.0
H82-core-65,11055.0,11405.0,11348.0,11230.0,11344.0
H82-core-70,11233.0,11521.0,11386.0,11377.0,11410.0
H82-core-75,11356.0,11707.0,11544.0,11532.0,11567.0
H82-core-80,11441.0,11815.0,11715.0,11628.0,11700.0
H82-core-85,11569.0,11877.0,11826.0,11723.0,11823.0
H82-core-90,11623.0,11987.0,11829.0,11805.0,11838.0
H82-core-95,11746.0,12094.0,12037.0,11920.0,12034.0
H82-core-95-2,11746.0,12094.0,12037.0,11920.0,12034.0
H82-A1,9150.0,9589.0,9424.0,9370.0,9438.0
H82-A2,9315.0,9609.0,9556.0,9462.0,9533.0
H82-A3,9445.0,9651.0,9605.0,9548.0,9600.0
H82-A4,9491.0,9723.0,9660.0,9607.0,9660.0
H82-A5,9744.0,9978.0,9933.0,9861.0,9933.0
H82-A5-2,9744.0,9978.0,9933.0,9861.0,9933.0
H82-A6,9882.0,10061.0,10016.0,9972.0,10018.0
H82-A7,9922.0,10073.0,10032.0,9998.0,10031.0
H82-A8,9946.0,10118.0,10070.0,10032.0,10072.0
H82-A8-2,9946.0,10118.0,10070.0,10032.0,10072.0
H82-A9,10002.0,10177.0,10132.0,10090.0,10129.0
H82-A10,10043.0,10240.0,10200.0,10142.0,10195.0
H82-A11,10121.0,10288.0,10214.0,10204.0,10222.0
H82-A12,10202.0,10349.0,10316.0,10276.0,10314.0
H82-A13,10262.0,10391.0,10359.0,10326.0,10357.0
H82-A13-2,10262.0,10391.0,10359.0,10326.0,10357.0
H82-A14,10287.0,10433.0,10393.0,10360.0,10391.0
H82-A15,10278.0,10439.0,10377.0,10358.0,10387.0
H82-A16,10259.0,10409.0,10362.0,10334.0,10361.0
H82-A16-2,10259.0,10409.0,10362.0,10334.0,10361.0
H82-A17,10396.0,10550.0,10475.0,10473.0,10482.0
H82-A17-2,10396.0,10550.0,10475.0,10473.0,10482.0
H82-A18,10442.0,10658.0,10591.0,10550.0,10598.0
H82-A18-2,10442.0,10658.0,10591.0,10550.0,10598.0
H82-A19,10534.0,10864.0,10680.0,10699.0,10710.0
H82-A19-2,10534.0,10864.0,10680.0,10699.0,10710.0
H82-A20,10577.0,10933.0,10910.0,10755.0,10870.0
H82-A20-2,10577.0,10933.0,10910.0,10755.0,10870.0
H82-A21,10796.0,11007.0,10975.0,10902.0,10953.0
H82-A22,10897.0,11071.0,11035.0,10984.0,11032.0
H82-A23,10955.0,11086.0,11051.0,11020.0,11050.0
H82-A24,10965.0,11100.0,11061.0,11032.0,11059.0
H82-A25,10978.0,11265.0,11220.0,11122.0,11185.0
H82-A26,11134.0,11377.0,11341.0,11256.0,11306.0
H82-A26-2,11134.0,11377.0,11341.0,11256.0,11306.0
H82-A27,11249.0,11447.0,11383.0,11348.0,11385.0
H82-A28,11334.0,11562.0,11515.0,11448.0,11514.0
H82-A29,11407.0,11621.0,11544.0,11514.0,11548.0
H82-A29-2,11407.0,11621.0,11544.0,11514.0,11548.0
H82-A30,11460.0,11765.0,11722.0,11612.0,11676.0
H82-A31,11507.0,11775.0,11726.0,11641.0,11708.0
H82-A32,11563.0,11870.0,11817.0,11716.0,11794.0
H82-A33,11694.0,11877.0,11828.0,11786.0,11826.0
H82-A34,11705.0,12025.0,11883.0,11865.0,11881.0
H82-A35,11715.0,12042.0,11890.0,11878.0,11929.0
H82-A36,11735.0,12045.0,12010.0,11890.0,11969.0
