id,Calendar_age,Calendar_age_error,dcp_Min_Range_at_95.0%,dcp_Max_Range_at_95.0%,Mode,MidRange,Median
H82-2,11523,31,3.41,5.73,5.11,4.57,5.08
H82-2-2,11523,31,3.53,5.85,5.22,4.69,5.2
H82-4,11824,26,4.9,7.69,6.72,6.31,6.83
H82-6,12548,32,4.39,7.32,6.79,5.87,6.57
H82-8,12999,26,5.33,7.76,7.21,6.55,7.2
H82-10,13497,39,3.62,8.22,7.19,5.94,6.86
H82-10-2,13497,39,3.56,8.16,7.13,5.89,6.8
H82-core-5,10730,50,2.88,6.75,5.66,4.83,5.57
H82-core-5-2,10730,50,3.21,6.88,5.86,5.07,5.75
H82-core-7,10900,55,3.59,6.3,5.44,4.95,5.46
H82-core-14,11370,55,2.07,5.41,4.51,3.76,4.41
H82-core-19,11560,40,2.28,5.0,4.3,3.64,4.28
H82-core-19-2,11560,40,2.9,5.41,4.79,4.17,4.76
H82-core-21,11640,40,2.93,5.86,5.0,4.41,5.01
H82-core-25,11880,35,2.98,5.93,5.15,4.47,5.14
H82-core-30,12130,40,3.0,5.61,4.95,4.31,4.94
H82-core-35,12310,40,3.39,6.01,5.29,4.72,5.27
H82-core-42,12510,40,4.28,8.03,6.13,6.17,6.45
H82-core-42-2,12510,40,3.1,7.28,5.42,5.21,5.65
H82-core-44,12620,40,0.4,6.35,4.74,3.43,5.08
H82-core-53,12850,40,2.63,5.98,4.87,4.31,4.98
H82-core-53-2,12850,40,3.38,6.51,5.42,4.95,5.55
H82-core-56,12930,40,3.12,5.95,4.93,4.55,5.0
H82-core-55,12950,40,4.08,7.24,6.33,5.68,6.35
H82-core-60,13000,40,3.65,7.58,6.93,5.64,6.91
H82-core-60-2,13000,40,3.17,7.12,6.47,5.16,6.44
H82-core-65,13210,35,2.63,6.45,5.16,4.56,5.21
H82-core-70,13300,35,2.19,6.24,5.47,4.24,5.19
H82-core-75,13450,40,3.43,8.13,7.25,5.8,7.06
H82-core-80,13540,45,2.6,7.47,5.96,5.07,6.02
H82-core-85,13660,45,2.46,6.88,5.6,4.69,5.65
H82-core-90,13730,45,1.94,6.65,5.84,4.32,5.71
H82-core-95,13890,50,2.79,6.38,5.32,4.6,5.33
H82-core-95-2,13890,50,2.91,6.5,5.44,4.72,5.45
H82-A1,10674,90,1.35,6.47,5.02,3.94,4.83
H82-A2,10764,48,2.79,6.42,5.01,4.62,5.16
H82-A3,10938,28,3.25,6.19,5.22,4.73,5.26
H82-A4,11141,26,2.69,6.38,5.62,4.55,5.59
H82-A5,11298,22,4.72,7.62,6.8,6.17,6.8
H82-A5-2,11298,22,4.87,7.38,6.68,6.13,6.69
H82-A6,11451,23,2.83,5.61,4.87,4.24,4.86
H82-A7,11548,22,3.06,5.55,4.89,4.31,4.87
H82-A8,11664,22,3.67,6.49,5.71,5.09,5.69
H82-A8-2,11664,22,4.12,6.48,5.82,5.31,5.81
H82-A9,11766,22,3.34,6.31,5.51,4.83,5.49
H82-A10,11845,23,3.33,6.31,5.35,4.83,5.39
H82-A11,11921,22,4.3,7.07,6.44,5.69,6.36
H82-A12,12020,22,3.76,6.34,5.62,5.06,5.62
H82-A13,12126,23,4.26,6.82,6.12,5.54,6.12
H82-A13-2,12126,23,4.57,6.62,6.06,5.6,6.06
H82-A14,12213,23,3.34,6.07,5.31,4.72,5.29
H82-A15,12319,21,2.87,6.06,5.18,4.48,5.15
H82-A16,12430,17,3.67,7.06,6.31,5.38,6.29
H82-A16-2,12430,17,4.01,7.09,6.49,5.57,6.47
H82-A17,12558,18,4.94,8.22,7.46,6.59,7.4
H82-A17-2,12558,18,6.12,8.69,8.2,7.4,8.11
H82-A18,12661,21,3.08,6.54,5.89,4.82,5.84
H82-A18-2,12661,21,3.67,7.24,6.52,5.47,6.48
H82-A19,12723,21,2.56,7.47,6.68,5.05,6.31
H82-A19-2,12723,21,2.42,6.98,6.33,4.73,5.93
H82-A20,12760,22,4.02,8.17,5.93,6.13,6.33
H82-A20-2,12760,22,3.7,7.51,5.22,5.62,5.65
H82-A21,12840,23,4.04,7.1,6.13,5.59,6.17
H82-A22,12930,20,3.65,6.38,5.58,5.02,5.59
H82-A23,12986,20,4.07,6.66,5.96,5.38,5.95
H82-A24,13033,23,4.42,8.0,7.31,6.22,7.3
H82-A25,13100,23,4.04,8.32,6.35,6.2,6.78
H82-A26,13174,20,3.16,6.38,4.93,4.79,5.25
H82-A26-2,13174,20,3.22,6.44,4.99,4.85,5.31
H82-A27,13277,21,3.5,6.63,5.99,5.07,5.95
H82-A28,13374,22,4.05,6.56,5.86,5.31,5.85
H82-A29,13436,24,2.86,6.57,5.85,4.74,5.79
H82-A29-2,13436,24,2.37,6.1,5.38,4.26,5.32
H82-A30,13508,26,2.9,6.68,5.15,4.81,5.41
H82-A31,13541,25,3.16,6.8,5.73,5.0,5.81
H82-A32,13609,26,2.88,6.88,5.09,4.9,5.35
H82-A33,13705,29,2.8,6.41,5.66,4.62,5.65
H82-A34,13770,32,1.62,6.02,5.02,3.85,4.87
H82-A35,13791,30,2.76,6.9,6.01,4.86,5.51
H82-A36,13800,23,3.22,6.92,5.08,5.09,5.53
