id,Calendar_age,Calendar_age_error,delta14R_Min_Range_at_95.0%,delta14R_Max_Range_at_95.0%,Mode,MidRange,Median
H82-2,11523,31,-57.3,-22.0,-51.1,-39.8,-50.8
H82-2-2,11523,31,-58.5,-23.3,-52.2,-41.0,-52.0
H82-4,11824,26,-76.9,-36.2,-67.2,-56.8,-68.3
H82-6,12548,32,-73.2,-18.7,-67.9,-46.4,-65.7
H82-8,12999,26,-77.6,-29.4,-72.1,-53.8,-72.0
H82-10,13497,39,-82.2,-16.1,-71.9,-49.8,-68.6
H82-10-2,13497,39,-81.6,-15.4,-71.3,-49.0,-68.0
H82-core-5,10730,50,-67.5,-12.5,-56.6,-40.4,-55.7
H82-core-5-2,10730,50,-68.8,-16.9,-58.6,-43.2,-57.5
H82-core-7,10900,55,-63.0,-14.9,-54.4,-39.3,-54.6
H82-core-14,11370,55,-54.1,-6.7,-45.1,-30.6,-44.1
H82-core-19,11560,40,-50.0,-7.1,-43.0,-28.7,-42.8
H82-core-19-2,11560,40,-54.1,-14.2,-47.9,-34.4,-47.6
H82-core-21,11640,40,-58.6,-10.0,-50.0,-34.6,-50.1
H82-core-25,11880,35,-59.3,-15.1,-51.5,-37.4,-51.4
H82-core-30,12130,40,-56.1,-16.7,-49.5,-36.7,-49.4
H82-core-35,12310,40,-60.1,-12.5,-52.9,-36.7,-52.7
H82-core-42,12510,40,-80.3,-11.4,-61.3,-46.4,-64.5
H82-core-42-2,12510,40,-72.8,0.9,-54.2,-36.7,-56.5
H82-core-44,12620,40,-63.5,18.7,-47.4,-23.3,-50.8
H82-core-53,12850,40,-59.8,-12.0,-48.7,-36.2,-49.8
H82-core-53-2,12850,40,-65.1,-20.7,-54.2,-43.1,-55.5
H82-core-56,12930,40,-59.5,-1.0,-49.3,-30.6,-50.0
H82-core-55,12950,40,-72.4,-7.7,-63.3,-40.6,-63.5
H82-core-60,13000,40,-75.8,-10.6,-69.3,-43.8,-69.1
H82-core-60-2,13000,40,-71.2,-5.7,-64.7,-39.1,-64.4
H82-core-65,13210,35,-64.5,-4.7,-51.6,-35.1,-52.1
H82-core-70,13300,35,-62.4,1.5,-54.7,-31.0,-51.9
H82-core-75,13450,40,-81.3,-7.8,-72.5,-45.3,-70.6
H82-core-80,13540,45,-74.7,-5.6,-59.6,-40.7,-60.2
H82-core-85,13660,45,-68.8,-1.7,-56.0,-35.9,-56.5
H82-core-90,13730,45,-66.5,1.1,-58.4,-33.3,-57.1
H82-core-95,13890,50,-63.8,-1.6,-53.2,-33.3,-53.3
H82-core-95-2,13890,50,-65.0,-2.9,-54.4,-34.5,-54.5
