id,Calendar_age,Calendar_age_error,Reservoir_Min_Range_at_95.0%,Reservoir_Max_Range_at_95.0%,Mode,MidRange,Median
H82-2,11523,31,356.0,484.0,421.0,420.0,419.0
H82-2-2,11523,31,366.0,494.0,431.0,430.0,429.0
H82-4,11824,26,487.0,655.0,559.0,571.0,568.0
H82-6,12548,32,456.0,623.0,565.0,540.0,546.0
H82-8,12999,26,543.0,659.0,601.0,601.0,600.0
H82-10,13497,39,436.0,706.0,599.0,571.0,571.0
H82-10-2,13497,39,431.0,701.0,594.0,566.0,566.0
H82-core-5,10730,50,339.0,578.0,468.0,458.0,460.0
H82-core-5-2,10730,50,358.0,589.0,485.0,474.0,476.0
H82-core-7,10900,55,376.0,535.0,449.0,456.0,451.0
H82-core-14,11370,55,257.0,461.0,371.0,359.0,362.0
H82-core-19,11560,40,279.0,424.0,353.0,352.0,351.0
H82-core-19-2,11560,40,325.0,458.0,394.0,392.0,392.0
H82-core-21,11640,40,334.0,498.0,412.0,416.0,413.0
H82-core-25,11880,35,345.0,506.0,425.0,426.0,424.0
H82-core-30,12130,40,338.0,476.0,408.0,407.0,407.0
H82-core-35,12310,40,361.0,510.0,437.0,436.0,435.0
H82-core-42,12510,40,435.0,686.0,508.0,560.0,536.0
H82-core-42-2,12510,40,352.0,623.0,448.0,488.0,467.0
H82-core-44,12620,40,314.0,546.0,390.0,430.0,419.0
H82-core-53,12850,40,314.0,510.0,401.0,412.0,410.0
H82-core-53-2,12850,40,369.0,555.0,448.0,462.0,459.0
H82-core-56,12930,40,336.0,505.0,406.0,420.0,412.0
H82-core-55,12950,40,447.0,617.0,525.0,532.0,527.0
H82-core-60,13000,40,504.0,649.0,577.0,576.0,575.0
H82-core-60-2,13000,40,464.0,609.0,537.0,536.0,535.0
H82-core-65,13210,35,338.0,552.0,426.0,445.0,430.0
H82-core-70,13300,35,296.0,536.0,452.0,416.0,428.0
H82-core-75,13450,40,431.0,707.0,605.0,569.0,588.0
H82-core-80,13540,45,352.0,650.0,494.0,501.0,499.0
H82-core-85,13660,45,368.0,590.0,463.0,479.0,467.0
H82-core-90,13730,45,312.0,580.0,483.0,446.0,472.0
H82-core-95,13890,50,339.0,545.0,439.0,442.0,440.0
H82-core-95-2,13890,50,349.0,555.0,449.0,452.0,450.0
H82-A1,10674,90,217.0,557.0,414.0,387.0,398.0
H82-A2,10764,48,321.0,548.0,413.0,434.0,426.0
H82-A3,10938,28,354.0,526.0,431.0,440.0,434.0
H82-A4,11141,26,372.0,548.0,465.0,460.0,462.0
H82-A5,11298,22,485.0,650.0,566.0,568.0,566.0
H82-A5-2,11298,22,487.0,627.0,555.0,557.0,556.0
H82-A6,11451,23,324.0,477.0,401.0,400.0,400.0
H82-A7,11548,22,334.0,470.0,403.0,402.0,401.0
H82-A8,11664,22,393.0,552.0,472.0,472.0,471.0
H82-A8-2,11664,22,416.0,549.0,482.0,482.0,481.0
H82-A9,11766,22,373.0,538.0,455.0,456.0,454.0
H82-A10,11845,23,362.0,537.0,442.0,450.0,445.0
H82-A11,11921,22,445.0,602.0,535.0,524.0,528.0
H82-A12,12020,22,394.0,538.0,465.0,466.0,465.0
H82-A13,12126,23,436.0,579.0,507.0,508.0,507.0
H82-A13-2,12126,23,446.0,559.0,502.0,502.0,502.0
H82-A14,12213,23,361.0,516.0,438.0,438.0,437.0
H82-A15,12319,21,336.0,516.0,427.0,426.0,425.0
H82-A16,12430,17,442.0,602.0,524.0,522.0,522.0
H82-A16-2,12430,17,470.0,604.0,539.0,537.0,537.0
H82-A17,12558,18,523.0,705.0,623.0,614.0,618.0
H82-A17-2,12558,18,600.0,743.0,687.0,672.0,679.0
H82-A18,12661,21,402.0,558.0,488.0,480.0,483.0
H82-A18-2,12661,21,451.0,620.0,542.0,536.0,538.0
H82-A19,12723,21,351.0,649.0,555.0,500.0,524.0
H82-A19-2,12723,21,321.0,605.0,525.0,463.0,491.0
H82-A20,12760,22,414.0,700.0,491.0,557.0,525.0
H82-A20-2,12760,22,371.0,639.0,431.0,505.0,467.0
H82-A21,12840,23,424.0,606.0,508.0,515.0,512.0
H82-A22,12930,20,386.0,543.0,461.0,464.0,462.0
H82-A23,12986,20,422.0,566.0,494.0,494.0,493.0
H82-A24,13033,23,534.0,684.0,610.0,609.0,609.0
H82-A25,13100,23,447.0,714.0,527.0,580.0,564.0
H82-A26,13174,20,341.0,542.0,406.0,442.0,433.0
H82-A26-2,13174,20,346.0,547.0,411.0,446.0,438.0
H82-A27,13277,21,413.0,567.0,496.0,490.0,493.0
H82-A28,13374,22,415.0,556.0,485.0,486.0,484.0
H82-A29,13436,24,390.0,562.0,484.0,476.0,479.0
H82-A29-2,13436,24,350.0,522.0,444.0,436.0,439.0
H82-A30,13508,26,332.0,571.0,425.0,452.0,447.0
H82-A31,13541,25,391.0,581.0,474.0,486.0,481.0
H82-A32,13609,26,335.0,589.0,420.0,462.0,442.0
H82-A33,13705,29,390.0,545.0,468.0,468.0,467.0
H82-A34,13770,32,238.0,517.0,414.0,378.0,401.0
H82-A35,13791,30,319.0,589.0,498.0,454.0,455.0
H82-A36,13800,23,351.0,590.0,419.0,470.0,457.0
