id,Reservoir_derived_14C_age,Reservoir_derived_14C_error,Calendar_age,Calendar_age_error
DrakePCoral,870,70,66,11
DrakePCoral,1380,60,468,21
MD07-3076,1985,30,1042,46
MD07-3076,2475,30,1042,46
MD07-3076,2362,35,1458,93
MD97-2121,2331,40,1718,10
MD07-3088,2510,30,1759,171
MD07-3076,2945,37,1991,116
MD07-3076,3725,37,2986,162
MD07-3088,4475,30,4098,182
MD07-3076,4905,35,4329,162
DrakePCoral,4850,75,4643,169
MD07-3076,5687,37,5370,139
DrakePCoral,5990,90,5883,53
MD07-3076,6506,37,6319,93
DrakePCoral,6430,95,6470,48
MD07-3076,6732,36,6806,185
MD97-2121,6884,30,7027,170
RR0503-83GC,7540,25,8009,69
RR0503-83GC,7750,30,8009,69
RR0503-83GC,8200,30,8009,69
RR0503-83GC,8350,25,8009,69
MD07-3076,8390,40,8079,162
MD07-3076,9520,40,9074,116
MD07-3076,9510,50,9074,116
MD07-3076,9070,50,9074,116
MD07-3076,9560,40,9769,116
MD97-2121,8812,36,9906,246
MD07-3076,9790,50,10347,69
MD07-3076,10060,50,10347,69
MD07-3076,10300,45,10694,69
MD07-3076,10470,50,11134,69
MD07-3076,10570,60,11134,69
MD07-3076,10670,50,11134,69
MD97-2121,10552,38,11195,51
MD07-3088,10880,35,11252,347
MD07-3076,10600,50,11389,93
MD07-3076,10730,50,11389,93
MD07-3076,10790,50,11644,116
MD07-3076,10820,50,11644,116
DrakePCoral,10700,140,11777,135
TNO57-21,10900,45,12201,200
MD07-3076,11400,50,12222,139
MD07-3076,11835,50,12894,69
TNO57-21,12200,75,12980,200
MD07-3076,12760,60,13241,93
DrakePCoral,12750,180,13397,76
TNO57-21,12700,55,13580,200
DrakePCoral,13150,180,13707,68
MD07-3088,12885,40,13812,233
RR0503-64JPC,12720,45,13998,110
RR0503-79JPC,12810,35,13998,110
MD07-3076,13360,60,14097,93
TNO57-21,12950,55,14180,200
MD97-2121,12839,45,14324,254
MD07-3076,13300,60,14491,69
MD07-3088,13755,35,14491,464
MD07-3076,13430,60,14653,69
TNO57-21,13150,70,14770,200
MD07-3076,13520,110,14792,69
MD07-3076,13440,60,15139,162
MD07-3076,13380,60,15139,162
MD07-3076,13380,70,15139,162
MD07-3076,13450,60,15139,162
MD07-3076,13260,60,15139,162
