id,Calendar_age,Calendar_age_error,Reservoir_Min_Range_at_95.0%,Reservoir_Max_Range_at_95.0%,Mode,MidRange,Median
DrakePCoral,66,11,233.0,871.0,755.0,552.0,754.0
DrakePCoral,468,21,406.0,1112.0,1006.0,759.0,1003.0
MD07-3076,1042,46,409.0,926.0,859.0,668.0,845.0
MD07-3076,1042,46,899.0,1416.0,1349.0,1158.0,1335.0
MD07-3076,1458,93,121.0,966.0,775.0,544.0,776.0
MD97-2121,1718,10,167.0,589.0,508.0,378.0,508.0
MD07-3088,1759,171,-320.0,921.0,625.0,300.0,644.0
MD07-3076,1991,116,230.0,1065.0,855.0,648.0,896.0
MD07-3076,2986,162,-79.0,1173.0,823.0,547.0,853.0
MD07-3088,4098,182,-194.0,971.0,767.0,388.0,731.0
MD07-3076,4329,162,186.0,1202.0,1028.0,694.0,1016.0
DrakePCoral,4643,169,-400.0,968.0,724.0,284.0,726.0
MD07-3076,5370,139,135.0,1240.0,1001.0,688.0,1024.0
DrakePCoral,5883,53,56.0,1065.0,903.0,560.0,887.0
MD07-3076,6319,93,298.0,1185.0,923.0,742.0,960.0
DrakePCoral,6470,48,-25.0,916.0,735.0,446.0,736.0
MD07-3076,6806,185,-512.0,1018.0,724.0,253.0,749.0
MD97-2121,7027,170,-561.0,960.0,713.0,200.0,733.0
RR0503-83GC,8009,69,-241.0,514.0,239.0,136.0,328.0
RR0503-83GC,8009,69,-46.0,725.0,450.0,340.0,536.0
RR0503-83GC,8009,69,404.0,1175.0,900.0,790.0,986.0
RR0503-83GC,8009,69,569.0,1324.0,1049.0,946.0,1138.0
MD07-3076,8079,162,36.0,1420.0,1088.0,728.0,1100.0
MD07-3076,9074,116,544.0,1583.0,1330.0,1064.0,1357.0
MD07-3076,9074,116,491.0,1580.0,1319.0,1036.0,1349.0
MD07-3076,9074,116,51.0,1140.0,879.0,596.0,909.0
MD07-3076,9769,116,91.0,917.0,776.0,504.0,781.0
MD97-2121,9906,246,-1341.0,322.0,-60.0,-510.0,-29.0
MD07-3076,10347,69,22.0,725.0,581.0,374.0,583.0
MD07-3076,10347,69,292.0,995.0,851.0,644.0,853.0
MD07-3076,10694,69,337.0,967.0,854.0,652.0,840.0
MD07-3076,11134,69,106.0,948.0,819.0,527.0,806.0
MD07-3076,11134,69,152.0,1058.0,919.0,605.0,905.0
MD07-3076,11134,69,306.0,1148.0,1019.0,727.0,1006.0
MD97-2121,11195,51,254.0,943.0,867.0,598.0,805.0
MD07-3088,11252,347,-749.0,1430.0,856.0,340.0,995.0
MD07-3076,11389,93,103.0,780.0,605.0,442.0,614.0
MD07-3076,11389,93,233.0,910.0,735.0,572.0,744.0
MD07-3076,11644,116,100.0,835.0,730.0,468.0,721.0
MD07-3076,11644,116,130.0,865.0,760.0,498.0,751.0
DrakePCoral,11777,135,-611.0,822.0,561.0,106.0,556.0
TNO57-21,12201,200,-830.0,708.0,534.0,-61.0,536.0
MD07-3076,12222,139,88.0,1143.0,1029.0,616.0,1028.0
MD07-3076,12894,69,162.0,979.0,830.0,570.0,839.0
TNO57-21,12980,200,-381.0,1605.0,1170.0,612.0,1146.0
MD07-3076,13241,93,530.0,1632.0,1393.0,1081.0,1393.0
DrakePCoral,13397,76,-255.0,1548.0,1223.0,646.0,1220.0
TNO57-21,13580,200,-99.0,1335.0,887.0,618.0,953.0
DrakePCoral,13707,68,-124.0,1620.0,1308.0,748.0,1304.0
MD07-3088,13812,233,-62.0,1330.0,855.0,634.0,919.0
RR0503-64JPC,13998,110,-69.0,792.0,681.0,362.0,643.0
RR0503-79JPC,13998,110,59.0,872.0,773.0,466.0,736.0
MD07-3076,14097,93,484.0,1385.0,1108.0,934.0,1153.0
TNO57-21,14180,200,-209.0,993.0,631.0,392.0,671.0
MD97-2121,14324,254,-594.0,835.0,440.0,120.0,483.0
MD07-3076,14491,69,352.0,992.0,879.0,672.0,877.0
MD07-3088,14491,464,-640.0,1887.0,1334.0,624.0,1348.0
MD07-3076,14653,69,439.0,1111.0,972.0,775.0,977.0
TNO57-21,14770,200,-450.0,848.0,691.0,199.0,677.0
MD07-3076,14792,69,162.0,1294.0,1084.0,728.0,1083.0
MD07-3076,15139,162,-224.0,975.0,749.0,376.0,741.0
MD07-3076,15139,162,-284.0,915.0,689.0,316.0,681.0
MD07-3076,15139,162,-324.0,923.0,689.0,300.0,681.0
MD07-3076,15139,162,-214.0,985.0,759.0,386.0,751.0
MD07-3076,15139,162,-404.0,795.0,569.0,196.0,561.0
TNO57-21,15892,200,381.0,1786.0,1501.0,1084.0,1509.0
DrakePCoral,16402,310,-1439.0,1071.0,596.0,-184.0,607.0
TNO57-21,16453,200,47.0,1483.0,1215.0,765.0,1220.0
MD07-3076,16574,324,-231.0,2039.0,1590.0,904.0,1649.0
MD07-3076,16574,324,-196.0,2034.0,1576.0,919.0,1649.0
MD07-3076,16574,324,-68.0,2244.0,1803.0,1088.0,1850.0
TNO57-21,17014,200,451.0,1930.0,1764.0,1190.0,1663.0
MD07-3076,17106,324,-823.0,2064.0,1593.0,620.0,1573.0
MD07-3076,17569,347,-622.0,2642.0,2065.0,1010.0,2086.0
TNO57-21,17575,200,339.0,1914.0,1593.0,1126.0,1607.0
MD07-3076,17801,347,-3.0,2547.0,2229.0,1272.0,2150.0
MD97-2121,17845,380,-911.0,1839.0,1514.0,464.0,1404.0
RR0503-83GC,17906,147,184.0,1415.0,1171.0,800.0,1213.0
RR0503-83GC,17906,147,314.0,1545.0,1301.0,930.0,1343.0
RR0503-83GC,17906,147,-87.0,1163.0,919.0,538.0,959.0
RR0503-83GC,17906,147,-136.0,1095.0,851.0,480.0,893.0
RR0503-64JPC,17906,147,-701.0,615.0,368.0,-43.0,402.0
RR0503-64JPC,17906,147,-406.0,825.0,581.0,210.0,623.0
MD07-3076,18009,324,-333.0,2811.0,2400.0,1239.0,2316.0
MD07-3076,18380,278,308.0,2833.0,2213.0,1570.0,2275.0
TNO57-21,18697,200,36.0,1871.0,1692.0,954.0,1544.0
MD07-3076,19028,231,941.0,2963.0,2396.0,1952.0,2438.0
TNO57-21,19259,200,187.0,1737.0,1422.0,962.0,1435.0
MD07-3076,19398,255,203.0,2398.0,2053.0,1300.0,1999.0
TNO57-21,19820,200,162.0,1887.0,1601.0,1024.0,1574.0
MD07-3076,20509,440,-714.0,2693.0,1967.0,990.0,2062.0
TNO57-21,22064,200,-473.0,1508.0,1175.0,518.0,1186.0
MD07-3076,22870,532,-1889.0,2532.0,1800.0,322.0,1629.0
MD07-3076,24722,463,-2000.0,1769.0,1187.0,-116.0,1184.0
MD97-2121,25358,162,-336.0,1576.0,1228.0,620.0,1259.0
RR0503-79JPC,25650,40,126.0,1074.0,920.0,600.0,916.0
BP_S794,25650,40,-60.0,977.0,799.0,458.0,796.0
HT_S938,25650,40,-440.0,597.0,419.0,78.0,416.0
S931,25650,40,120.0,1157.0,979.0,638.0,976.0
RR0503-36JPC,25650,40,-275.0,715.0,549.0,220.0,546.0
MD07-3076,26227,486,-3032.0,1390.0,428.0,-821.0,399.0
MD07-3076,27384,486,-3181.0,1103.0,112.0,-1039.0,189.0
MD07-3076,28472,394,-2824.0,864.0,349.0,-980.0,266.0
MD07-3076,29931,347,-2766.0,870.0,629.0,-948.0,388.0
MD07-3076,30810,486,-3651.0,873.0,183.0,-1389.0,2.0
MD07-3076,32106,625,-3404.0,1501.0,149.0,-952.0,303.0
MD07-3076,32639,625,-3815.0,1127.0,400.0,-1344.0,367.0
MD04-2829CQ,1300,200,-1305.0,810.0,436.0,-248.0,390.0
DAPC2,3672,200,-801.0,633.0,301.0,-84.0,311.0
94-609,5516,151,-551.0,915.0,688.0,182.0,645.0
DAPC2,9238,200,-1047.0,636.0,337.0,-206.0,331.0
RAPiD-15-4P,10297,100,-75.0,843.0,537.0,384.0,561.0
RAPiD-17-5P,10297,100,-90.0,833.0,526.0,372.0,550.0
RAPID-12-1K,10447,101,-115.0,608.0,516.0,246.0,495.0
RAPiD-10-1P,10510,250,-880.0,688.0,359.0,-96.0,277.0
RAPiD-15-4P,10714,150,-88.0,944.0,630.0,428.0,717.0
RAPiD-17-5P,10727,150,-423.0,597.0,291.0,87.0,370.0
MD04-2829CQ,10900,200,-1244.0,540.0,223.0,-352.0,222.0
RAPID-12-1K,11235,200,-259.0,820.0,372.0,280.0,513.0
RAPiD-15-4P,11410,150,-269.0,668.0,344.0,200.0,366.0
RAPiD-17-5P,11501,150,-124.0,652.0,486.0,264.0,491.0
RAPiD-10-1P,11550,200,-399.0,762.0,530.0,182.0,528.0
MD04-2829CQ,11620,200,-525.0,1199.0,898.0,337.0,894.0
RAPID-12-1K,11630,200,-507.0,661.0,530.0,77.0,511.0
RAPiD-15-4P,11653,150,61.0,837.0,740.0,449.0,722.0
RAPiD-17-5P,11683,101,159.0,802.0,709.0,480.0,700.0
MD95-2007,11775,68,-82.0,665.0,533.0,292.0,529.0
DAPC2,11833,200,-624.0,882.0,669.0,129.0,648.0
RAPiD-15-4P,11934,101,222.0,859.0,722.0,540.0,714.0
RAPiD-10-1P,12120,52,846.0,1291.0,1212.0,1068.0,1211.0
