id,UncalibratedMinRange_at_95.0%,UncalibratedMaxRange_at_95.0%,Mode,MidRange,Median
DrakePCoral,22.0,137.0,120.0,80.0,115.0
DrakePCoral,229.0,439.0,368.0,334.0,372.0
MD07-3076,820.0,1213.0,1118.0,1016.0,1132.0
MD07-3076,820.0,1213.0,1118.0,1016.0,1132.0
MD07-3076,902.0,1730.0,1591.0,1316.0,1586.0
MD97-2121,1624.0,1857.0,1832.0,1740.0,1823.0
MD07-3088,819.0,2097.0,1878.0,1458.0,1870.0
MD07-3076,1331.0,2215.0,2104.0,1773.0,2047.0
MD07-3076,2020.0,3054.0,2899.0,2537.0,2876.0
MD07-3088,2825.0,3921.0,3697.0,3373.0,3740.0
MD07-3076,3054.0,4115.0,3887.0,3584.0,3886.0
DrakePCoral,3320.0,4384.0,4133.0,3852.0,4128.0
MD07-3076,4008.0,4904.0,4690.0,4456.0,4668.0
DrakePCoral,4702.0,5242.0,5055.0,4972.0,5078.0
MD07-3076,4949.0,5699.0,5582.0,5324.0,5557.0
DrakePCoral,5272.0,5771.0,5681.0,5522.0,5691.0
MD07-3076,4911.0,6199.0,6008.0,5555.0,5985.0
MD97-2121,5181.0,6395.0,6180.0,5788.0,6154.0
RR0503-83GC,6668.0,7339.0,7302.0,7004.0,7205.0
RR0503-83GC,6668.0,7339.0,7302.0,7004.0,7205.0
RR0503-83GC,6668.0,7339.0,7302.0,7004.0,7205.0
RR0503-83GC,6668.0,7339.0,7302.0,7004.0,7205.0
MD07-3076,6057.0,7507.0,7301.0,6782.0,7293.0
MD07-3076,7492.0,8279.0,8175.0,7886.0,8167.0
MD07-3076,7492.0,8279.0,8175.0,7886.0,8167.0
MD07-3076,7492.0,8279.0,8175.0,7886.0,8167.0
MD07-3076,8054.0,8890.0,8788.0,8472.0,8780.0
MD97-2121,7609.0,9197.0,8887.0,8403.0,8841.0
MD07-3076,8716.0,9276.0,9207.0,8996.0,9206.0
MD07-3076,8716.0,9276.0,9207.0,8996.0,9206.0
MD07-3076,9072.0,9582.0,9431.0,9327.0,9453.0
MD07-3076,9358.0,9865.0,9656.0,9612.0,9657.0
MD07-3076,9358.0,9865.0,9656.0,9612.0,9657.0
MD07-3076,9358.0,9865.0,9656.0,9612.0,9657.0
MD97-2121,9391.0,9924.0,9665.0,9658.0,9745.0
MD07-3088,8106.0,10181.0,10029.0,9144.0,9894.0
MD07-3076,9399.0,10061.0,10020.0,9730.0,9987.0
MD07-3076,9399.0,10061.0,10020.0,9730.0,9987.0
MD07-3076,9429.0,10188.0,10050.0,9808.0,10063.0
MD07-3076,9429.0,10188.0,10050.0,9808.0,10063.0
DrakePCoral,9436.0,10306.0,10095.0,9871.0,10132.0
TNO57-21,9454.0,10515.0,10365.0,9984.0,10364.0
MD07-3076,9874.0,10440.0,10371.0,10157.0,10370.0
MD07-3076,10372.0,11070.0,11039.0,10721.0,10997.0
TNO57-21,10038.0,11444.0,11049.0,10741.0,11047.0
MD07-3076,10561.0,11534.0,11369.0,11048.0,11365.0
DrakePCoral,10937.0,11703.0,11521.0,11320.0,11525.0
TNO57-21,10263.0,12046.0,11827.0,11154.0,11749.0
DrakePCoral,11304.0,12010.0,11831.0,11657.0,11834.0
MD07-3088,10270.0,12297.0,12027.0,11284.0,11981.0
RR0503-64JPC,11384.0,12289.0,12030.0,11836.0,12065.0
RR0503-79JPC,11384.0,12289.0,12030.0,11836.0,12065.0
MD07-3076,11547.0,12330.0,12258.0,11938.0,12220.0
TNO57-21,10964.0,12436.0,12307.0,11700.0,12283.0
MD97-2121,10835.0,12488.0,12400.0,11662.0,12363.0
MD07-3076,12011.0,12485.0,12414.0,12248.0,12419.0
MD07-3088,10009.0,12805.0,12405.0,11407.0,12406.0
MD07-3076,12057.0,12517.0,12470.0,12287.0,12456.0
TNO57-21,11582.0,12671.0,12473.0,12126.0,12468.0
MD07-3076,12057.0,12536.0,12479.0,12296.0,12437.0
MD07-3076,12082.0,12916.0,12731.0,12499.0,12697.0
MD07-3076,12082.0,12916.0,12731.0,12499.0,12697.0
MD07-3076,12082.0,12916.0,12731.0,12499.0,12697.0
MD07-3076,12082.0,12916.0,12731.0,12499.0,12697.0
MD07-3076,12082.0,12916.0,12731.0,12499.0,12697.0
TNO57-21,12197.0,13462.0,13244.0,12830.0,13240.0
DrakePCoral,12182.0,13891.0,13624.0,13036.0,13600.0
TNO57-21,12639.0,13836.0,13626.0,13238.0,13628.0
MD07-3076,12198.0,14112.0,13814.0,13155.0,13711.0
MD07-3076,12198.0,14112.0,13814.0,13155.0,13711.0
MD07-3076,12198.0,14112.0,13814.0,13155.0,13711.0
TNO57-21,13046.0,14261.0,13855.0,13654.0,13973.0
MD07-3076,12596.0,14483.0,14152.0,13540.0,14100.0
MD07-3076,12778.0,14771.0,14460.0,13774.0,14446.0
