id,cal_age,cal_sigma,rad_res,rad_res_sd,mid1,mid2,wmn,med,mode,mid1_resage,mid2_resage,wmn_resage,med_resage,mode_resage
DrakePCoral,66,11,870,70,80.0,134.0,134.0,115.0,120.0,552.0,756.0,763.0,754.0,755.0
DrakePCoral,468,21,1380,60,334.0,476.0,548.0,372.0,368.0,759.0,948.0,874.0,1003.0,1006.0
MD07-3076,1042,46,1985,30,1016.0,1162.0,1173.0,1132.0,1118.0,668.0,840.0,739.0,845.0,859.0
MD07-3076,1042,46,2475,30,1016.0,1162.0,1173.0,1132.0,1118.0,1158.0,1330.0,1229.0,1335.0,1349.0
MD07-3076,1458,93,2362,35,1316.0,1528.0,1562.0,1586.0,1591.0,544.0,836.0,862.0,776.0,775.0
MD97-2121,1718,10,2331,40,1740.0,1804.0,1832.0,1823.0,1832.0,378.0,528.0,535.0,508.0,508.0
MD07-3088,1759,171,2510,30,1458.0,1792.0,2087.0,1870.0,1878.0,300.0,726.0,622.0,644.0,625.0
MD07-3076,1991,116,2945,37,1773.0,1957.0,1697.0,2047.0,2104.0,648.0,964.0,1119.0,896.0,855.0
MD07-3076,2986,162,3725,37,2537.0,2869.0,2924.0,2876.0,2899.0,547.0,862.0,806.0,853.0,823.0
MD07-3088,4098,182,4475,30,3373.0,3707.0,3615.0,3740.0,3697.0,388.0,762.0,817.0,731.0,767.0
MD07-3076,4329,162,4905,35,3584.0,3830.0,3699.0,3886.0,3887.0,694.0,1054.0,1242.0,1016.0,1028.0
DrakePCoral,4643,169,4850,75,3852.0,4166.0,4103.0,4128.0,4133.0,284.0,685.0,603.0,726.0,724.0
MD07-3076,5370,139,5687,37,4456.0,4732.0,4770.0,4668.0,4690.0,688.0,966.0,886.0,1024.0,1001.0
DrakePCoral,5883,53,5990,90,4972.0,5086.0,5056.0,5078.0,5055.0,560.0,834.0,807.0,887.0,903.0
MD07-3076,6319,93,6506,37,5324.0,5525.0,5538.0,5557.0,5582.0,742.0,987.0,939.0,960.0,923.0
DrakePCoral,6470,48,6430,95,5522.0,5652.0,5678.0,5691.0,5681.0,446.0,780.0,866.0,736.0,735.0
MD07-3076,6806,185,6732,36,5555.0,6041.0,6289.0,5985.0,6008.0,253.0,698.0,654.0,749.0,724.0
MD97-2121,7027,170,6884,30,5788.0,6290.0,6500.0,6154.0,6180.0,200.0,605.0,399.0,733.0,713.0
RR0503-83GC,8009,69,7540,25,7004.0,7204.0,7227.0,7205.0,7302.0,136.0,340.0,300.0,328.0,239.0
RR0503-83GC,8009,69,7750,30,7004.0,7204.0,7227.0,7205.0,7302.0,340.0,552.0,496.0,536.0,450.0
RR0503-83GC,8009,69,8200,30,7004.0,7204.0,7227.0,7205.0,7302.0,790.0,1002.0,946.0,986.0,900.0
RR0503-83GC,8009,69,8350,25,7004.0,7204.0,7227.0,7205.0,7302.0,946.0,1150.0,1110.0,1138.0,1049.0
MD07-3076,8079,162,8390,40,6782.0,7164.0,7304.0,7293.0,7301.0,728.0,1231.0,1163.0,1100.0,1088.0
MD07-3076,9074,116,9520,40,7886.0,8182.0,8139.0,8167.0,8175.0,1064.0,1327.0,1452.0,1357.0,1330.0
MD07-3076,9074,116,9510,50,7886.0,8182.0,8139.0,8167.0,8175.0,1036.0,1312.0,1442.0,1349.0,1319.0
MD07-3076,9074,116,9070,50,7886.0,8182.0,8139.0,8167.0,8175.0,596.0,872.0,1002.0,909.0,879.0
MD07-3076,9769,116,9560,40,8472.0,8714.0,8738.0,8780.0,8788.0,504.0,851.0,816.0,781.0,776.0
MD97-2121,9906,246,8812,36,8403.0,8850.0,9043.0,8841.0,8887.0,-510.0,-30.0,-106.0,-29.0,-60.0
MD07-3076,10347,69,9790,50,8996.0,9182.0,9356.0,9206.0,9207.0,374.0,646.0,572.0,583.0,581.0
MD07-3076,10347,69,10060,50,8996.0,9182.0,9356.0,9206.0,9207.0,644.0,916.0,842.0,853.0,851.0
MD07-3076,10694,69,10300,45,9327.0,9435.0,9442.0,9453.0,9431.0,652.0,864.0,860.0,840.0,854.0
MD07-3076,11134,69,10470,50,9612.0,9769.0,9668.0,9657.0,9656.0,527.0,710.0,671.0,806.0,819.0
MD07-3076,11134,69,10570,60,9612.0,9769.0,9668.0,9657.0,9656.0,605.0,815.0,751.0,905.0,919.0
MD07-3076,11134,69,10670,50,9612.0,9769.0,9668.0,9657.0,9656.0,727.0,910.0,871.0,1006.0,1019.0
MD97-2121,11195,51,10552,38,9658.0,9784.0,9787.0,9745.0,9665.0,598.0,776.0,746.0,805.0,867.0
MD07-3088,11252,347,10880,35,9144.0,9841.0,9908.0,9894.0,10029.0,340.0,1042.0,900.0,995.0,856.0
MD07-3076,11389,93,10600,50,9730.0,9872.0,9867.0,9987.0,10020.0,442.0,746.0,709.0,614.0,605.0
MD07-3076,11389,93,10730,50,9730.0,9872.0,9867.0,9987.0,10020.0,572.0,876.0,839.0,744.0,735.0
MD07-3076,11644,116,10790,50,9808.0,9971.0,9907.0,10063.0,10050.0,468.0,806.0,843.0,721.0,730.0
MD07-3076,11644,116,10820,50,9808.0,9971.0,9907.0,10063.0,10050.0,498.0,836.0,873.0,751.0,760.0
DrakePCoral,11777,135,10700,140,9871.0,10042.0,9996.0,10132.0,10095.0,106.0,596.0,784.0,556.0,561.0
TNO57-21,12201,200,10900,45,9984.0,10544.0,10680.0,10364.0,10365.0,-61.0,362.0,365.0,536.0,534.0
MD07-3076,12222,139,11400,50,10157.0,10516.0,10498.0,10370.0,10371.0,616.0,887.0,852.0,1028.0,1029.0
MD07-3076,12894,69,11835,50,10721.0,10948.0,11102.0,10997.0,11039.0,570.0,906.0,909.0,839.0,830.0
TNO57-21,12980,200,12200,75,10741.0,11202.0,11261.0,11047.0,11049.0,612.0,995.0,900.0,1146.0,1170.0
MD07-3076,13241,93,12760,60,11048.0,11304.0,11400.0,11365.0,11369.0,1081.0,1444.0,1576.0,1393.0,1393.0
DrakePCoral,13397,76,12750,180,11320.0,11536.0,11712.0,11525.0,11521.0,646.0,1218.0,1286.0,1220.0,1223.0
TNO57-21,13580,200,12700,55,11154.0,11462.0,11772.0,11749.0,11827.0,618.0,1242.0,1388.0,953.0,887.0
DrakePCoral,13707,68,13150,180,11657.0,11820.0,11739.0,11834.0,11831.0,748.0,1293.0,1324.0,1304.0,1308.0
MD07-3088,13812,233,12885,40,11284.0,11575.0,11818.0,11981.0,12027.0,634.0,1318.0,1298.0,919.0,855.0
RR0503-64JPC,13998,110,12720,45,11836.0,12034.0,12105.0,12065.0,12030.0,362.0,690.0,727.0,643.0,681.0
RR0503-79JPC,13998,110,12810,35,11836.0,12034.0,12105.0,12065.0,12030.0,466.0,780.0,747.0,736.0,773.0
MD07-3076,14097,93,13360,60,11938.0,12122.0,12158.0,12220.0,12258.0,934.0,1225.0,1318.0,1153.0,1108.0
TNO57-21,14180,200,12950,55,11700.0,12009.0,12378.0,12283.0,12307.0,392.0,966.0,881.0,671.0,631.0
MD97-2121,14324,254,12839,45,11662.0,12097.0,12546.0,12363.0,12400.0,120.0,757.0,703.0,483.0,440.0
MD07-3076,14491,69,13300,60,12248.0,12386.0,12374.0,12419.0,12414.0,672.0,910.0,960.0,877.0,879.0
MD07-3088,14491,464,13755,35,11407.0,12182.0,12854.0,12406.0,12405.0,624.0,1584.0,1398.0,1348.0,1334.0
MD07-3076,14653,69,13430,60,12287.0,12430.0,12437.0,12456.0,12470.0,775.0,1007.0,1009.0,977.0,972.0
TNO57-21,14770,200,13150,70,12126.0,12504.0,12515.0,12468.0,12473.0,199.0,635.0,726.0,677.0,691.0
MD07-3076,14792,69,13520,110,12296.0,12482.0,12516.0,12437.0,12479.0,728.0,1072.0,1027.0,1083.0,1084.0
MD07-3076,15139,162,13440,60,12499.0,12801.0,12864.0,12697.0,12731.0,376.0,664.0,543.0,741.0,749.0
MD07-3076,15139,162,13380,60,12499.0,12801.0,12864.0,12697.0,12731.0,316.0,604.0,483.0,681.0,689.0
MD07-3076,15139,162,13380,70,12499.0,12801.0,12864.0,12697.0,12731.0,300.0,612.0,445.0,681.0,689.0
MD07-3076,15139,162,13450,60,12499.0,12801.0,12864.0,12697.0,12731.0,386.0,674.0,553.0,751.0,759.0
MD07-3076,15139,162,13260,60,12499.0,12801.0,12864.0,12697.0,12731.0,196.0,484.0,363.0,561.0,569.0
TNO57-21,15892,200,14750,65,12830.0,13228.0,13422.0,13240.0,13244.0,1084.0,1541.0,1424.0,1509.0,1501.0
DrakePCoral,16402,310,14200,180,13036.0,13705.0,14310.0,13600.0,13624.0,-184.0,610.0,501.0,607.0,596.0
TNO57-21,16453,200,14850,60,13238.0,13652.0,13622.0,13628.0,13626.0,765.0,1188.0,1262.0,1220.0,1215.0
MD07-3076,16574,324,15360,70,13155.0,13812.0,13783.0,13711.0,13814.0,904.0,1546.0,1578.0,1649.0,1590.0
MD07-3076,16574,324,15360,60,13155.0,13812.0,13783.0,13711.0,13814.0,919.0,1546.0,1555.0,1649.0,1576.0
MD07-3076,16574,324,15560,80,13155.0,13812.0,13783.0,13711.0,13814.0,1088.0,1745.0,1758.0,1850.0,1803.0
TNO57-21,17014,200,15650,80,13654.0,14057.0,14338.0,13973.0,13855.0,1190.0,1630.0,1505.0,1663.0,1764.0
MD07-3076,17106,324,15650,180,13540.0,14257.0,14176.0,14100.0,14152.0,620.0,1412.0,1222.0,1573.0,1593.0
MD07-3076,17569,347,16510,210,13774.0,14663.0,14872.0,14446.0,14460.0,1010.0,1890.0,1712.0,2086.0,2065.0
TNO57-21,17575,200,16050,65,14042.0,14505.0,14522.0,14447.0,14459.0,1126.0,1550.0,1545.0,1607.0,1593.0
MD07-3076,17801,347,16698,50,14080.0,14792.0,14770.0,14535.0,14461.0,1272.0,1902.0,2026.0,2150.0,2229.0
MD97-2121,17845,380,15986,56,14036.0,14820.0,14705.0,14579.0,14461.0,464.0,1161.0,1205.0,1404.0,1514.0
RR0503-83GC,17906,147,15835,40,14296.0,14700.0,14625.0,14624.0,14670.0,800.0,1134.0,1135.0,1213.0,1171.0
RR0503-83GC,17906,147,15965,40,14296.0,14700.0,14625.0,14624.0,14670.0,930.0,1264.0,1265.0,1343.0,1301.0
RR0503-83GC,17906,147,15580,45,14296.0,14700.0,14625.0,14624.0,14670.0,538.0,879.0,860.0,959.0,919.0
RR0503-83GC,17906,147,15515,40,14296.0,14700.0,14625.0,14624.0,14670.0,480.0,814.0,815.0,893.0,851.0
